vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1119,54.73,571,1793.34,1684.64,108.7,482,33,33
1,2,2,1096,52.641,537,1706.23,1646.38,59.85,495,32,32
2,3,3,1026,35.611,470,1443.91,1417.82,26.09,498,29,29
3,4,4,1076,46.814,531,1718.69,1623.1,95.59,483,31,31
4,5,5,1098,22.191,565,1801.11,1748.34,52.77,469,32,32
5,6,6,1084,27.661,586,1828.62,1713.73,114.89,430,34,34
6,7,7,1115,62.342,580,1827.45,1763.94,63.51,467,34,34
7,8,8,1051,92.774,465,1433.33,1321.85,111.48,534,26,26
8,9,9,1033,115.754,481,1532.28,1484.84,47.44,494,29,29
9,10,10,1130,33.336,576,1809.45,1686.74,122.71,490,32,32
10,1,1,1092,55.344,502,1620.42,1505.04,115.38,530,30,30
11,2,2,1083,94.579,534,1647.73,1490.29,157.44,489,30,30
12,3,3,1141,46.293,547,1648.64,1519.18,129.46,524,35,35
13,4,4,1079,16.023,564,1749.59,1609.9,139.69,447,34,34
14,5,5,1070,61.003,501,1495.43,1420.43,75.0,499,35,35
15,6,6,1119,25.844,514,1575.66,1380.91,194.75,541,32,32
16,7,7,984,16.626,462,1405.36,1240.76,164.6,468,27,27
17,8,8,964,41.57,395,1190.53,1115.44,75.09,517,26,26
18,9,9,1114,60.834,536,1567.33,1449.17,118.16,510,34,34
19,10,10,1088,43.05,507,1565.85,1419.68,146.17,523,29,29
20,1,1,1112,129.724,529,1564.9,1480.72,84.18,517,33,33
21,2,2,1114,53.039,508,1439.63,1262.38,177.25,546,30,30
22,3,3,1017,48.224,468,1379.75,1249.23,130.52,491,29,29
23,4,4,1023,48.07,481,1459.01,1350.78,108.23,482,30,30
24,5,5,1098,131.328,461,1340.13,1267.47,72.66,573,32,32
25,6,6,1100,26.367,478,1350.28,1181.12,169.16,562,30,30
26,7,7,1105,23.252,507,1520.36,1413.22,107.14,530,34,34
27,8,8,986,38.706,433,1238.57,1139.49,99.08,493,30,30
28,9,9,924,34.539,419,1166.56,1088.07,78.49,447,29,29
29,10,10,988,19.589,441,1222.76,1049.49,173.27,491,28,28
30,1,1,1077,46.934,519,1454.91,1292.97,161.94,490,34,34
31,2,2,986,39.239,405,1105.46,906.29,199.17,531,25,25
32,3,3,980,58.034,367,1081.12,925.68,155.44,565,24,24
33,4,4,953,18.342,408,1135.43,1001.94,133.49,491,27,27
34,5,5,1002,51.024,461,1270.81,1087.77,183.04,481,30,30
35,6,6,1010,38.274,441,1245.6,951.05,294.55,513,28,28
36,7,7,966,60.151,378,1026.34,869.07,157.27,536,26,26
37,8,8,1009,43.07,432,1197.01,1053.3,143.71,523,27,27
38,9,9,1138,47.679,454,1243.34,963.76,279.58,634,25,25
39,10,10,1058,64.314,436,1164.12,927.31,236.81,566,28,28
40,1,1,1110,104.004,494,1311.67,1093.56,218.11,554,31,31
41,2,2,1012,96.623,386,1010.7,840.28,170.42,572,27,27
42,3,3,1017,47.388,426,1149.64,913.1,236.54,539,26,26
43,4,4,1124,19.639,496,1377.71,1038.72,338.99,572,28,28
44,5,5,1020,48.108,351,916.33,662.02,254.31,627,21,21
45,6,6,1109,17.069,473,1282.98,1082.48,200.5,572,32,32
46,7,7,985,68.158,325,907.52,749.29,158.23,620,20,20
47,8,8,1001,19.651,475,1222.47,990.74,231.73,462,32,32
48,9,9,1117,30.047,369,959.31,745.45,213.86,696,26,26
49,10,10,1085,21.126,424,1127.11,877.89,249.22,609,26,26
50,1,1,1007,55.344,454,1263.83,1076.26,187.57,489,32,32
51,2,2,939,43.504,416,1051.89,879.79,172.1,465,29,29
52,3,3,941,33.833,395,1027.62,808.51,219.11,496,25,25
53,4,4,942,38.274,399,1106.55,847.33,259.22,493,25,25
54,5,5,1023,41.322,421,1116.03,871.49,244.54,548,27,27
55,6,6,1024,35.358,420,1149.81,873.57,276.24,554,25,25
56,7,7,1051,62.088,382,997.68,842.78,154.9,619,25,25
57,8,8,1134,62.539,432,1151.52,928.86,222.66,646,28,28
58,9,9,1114,33.403,395,1115.47,846.35,269.12,671,24,24
59,10,10,966,30.716,472,1212.61,884.42,328.19,432,31,31
60,1,1,1030,49.145,483,1265.03,1083.95,181.08,479,34,34
61,2,2,1091,44.833,420,1149.27,919.66,229.61,619,26,26
62,3,3,1018,107.498,418,1028.17,757.2,270.97,548,26,26
63,4,4,946,38.274,359,939.48,837.34,102.14,537,25,25
64,5,5,1046,38.674,453,1182.2,991.65,190.55,529,32,32
65,6,6,1102,80.562,481,1243.49,1008.02,235.47,553,34,34
66,7,7,1103,117.182,450,1204.64,1069.67,134.97,585,34,34
67,8,8,1050,38.948,403,1072.19,918.14,154.05,593,27,27
68,9,9,933,93.744,382,971.43,840.75,130.68,489,31,31
69,10,10,1038,57.864,461,1321.27,1196.9,124.37,509,34,34
70,1,1,954,23.38,433,1099.27,849.51,249.76,465,28,28
