vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1070,39.226,562,1734.4,1669.98,64.42,446,31,31
1,2,2,1100,52.98,582,1859.08,1731.66,127.42,450,34,34
2,3,3,1071,39.914,502,1534.04,1455.75,78.29,505,32,32
3,4,4,1084,46.759,553,1808.45,1712.86,95.59,473,29,29
4,5,5,1102,38.116,553,1752.35,1674.78,77.57,491,29,29
5,6,6,1108,38.274,583,1823.49,1652.96,170.53,463,31,31
6,7,7,1102,60.144,569,1765.69,1669.84,95.85,467,33,33
7,8,8,1046,95.024,499,1543.17,1465.66,77.51,489,29,29
8,9,9,1083,37.376,500,1531.16,1452.92,78.24,523,30,30
9,10,10,1131,31.823,584,1825.16,1630.59,194.57,481,33,33
10,1,1,1098,91.19,551,1671.03,1523.3,147.73,475,36,36
11,2,2,1113,19.951,567,1688.97,1480.46,208.51,472,37,37
12,3,3,1118,44.758,573,1701.44,1476.89,224.55,479,33,33
13,4,4,1118,47.45,532,1618.48,1469.22,149.26,518,34,34
14,5,5,1032,39.024,505,1512.65,1359.48,153.17,467,30,30
15,6,6,1092,29.265,544,1677.23,1556.82,120.41,486,31,31
16,7,7,1110,22.017,534,1660.44,1443.18,217.26,514,31,31
17,8,8,1069,83.578,500,1517.44,1352.11,165.33,513,28,28
18,9,9,1109,28.358,531,1642.34,1362.56,279.78,524,27,27
19,10,10,1104,92.641,544,1676.82,1578.23,98.59,494,33,33
20,1,1,1122,46.562,568,1661.84,1524.49,137.35,482,36,36
21,2,2,1107,30.521,535,1540.75,1295.45,245.3,510,31,31
22,3,3,1060,80.058,532,1486.0,1279.86,206.14,462,33,33
23,4,4,1116,67.935,490,1464.29,1294.61,169.68,568,29,29
24,5,5,1089,89.684,529,1571.87,1446.32,125.55,490,35,35
25,6,6,1074,51.005,519,1573.14,1454.32,118.82,489,33,33
26,7,7,1047,68.006,492,1480.1,1238.59,241.51,497,29,29
27,8,8,987,95.024,415,1190.47,1077.27,113.2,518,27,27
28,9,9,983,113.064,443,1294.12,1138.74,155.38,488,26,26
29,10,10,1009,43.174,514,1486.31,1290.85,195.46,437,29,29
30,1,1,1007,55.344,489,1390.88,1116.02,274.86,460,29,29
31,2,2,979,60.574,487,1349.27,1123.83,225.44,422,35,35
32,3,3,949,21.032,482,1371.04,1056.86,314.18,405,31,31
33,4,4,950,45.998,451,1282.35,1023.86,258.49,441,29,29
34,5,5,1018,41.627,507,1457.77,1165.5,292.27,447,32,32
35,6,6,1121,47.613,511,1481.83,1199.36,282.47,544,33,33
36,7,7,937,53.624,414,1190.38,960.21,230.17,475,24,24
37,8,8,1121,36.886,537,1444.58,1133.87,310.71,516,34,34
38,9,9,934,36.026,395,1173.43,888.99,284.44,497,21,21
39,10,10,948,23.854,464,1291.47,957.4,334.07,426,29,29
40,1,1,1107,75.296,480,1265.39,1061.12,204.27,565,31,31
41,2,2,1103,61.38,523,1458.98,1091.75,367.23,522,29,29
42,3,3,1027,47.484,428,1238.06,1021.07,216.99,545,27,27
43,4,4,1110,116.114,453,1277.78,1094.28,183.5,605,26,26
44,5,5,1074,61.249,446,1221.49,976.08,245.41,580,24,24
45,6,6,1083,20.263,474,1359.92,1059.89,300.03,555,27,27
46,7,7,1089,33.537,402,1126.93,916.35,210.58,633,27,27
47,8,8,1009,48.088,416,1239.9,1011.51,228.39,545,24,24
48,9,9,1014,55.547,404,1119.02,808.21,310.81,562,24,24
49,10,10,1016,26.175,469,1357.68,967.87,389.81,497,25,25
50,1,1,1100,53.384,557,1550.68,1189.32,361.36,481,31,31
51,2,2,1013,27.783,488,1299.9,1025.71,274.19,463,31,31
52,3,3,1068,54.391,534,1490.31,1088.83,401.48,478,28,28
53,4,4,1074,109.548,503,1396.43,1073.0,323.43,509,31,31
54,5,5,1011,51.024,310,915.49,693.07,222.42,665,18,18
55,6,6,1082,53.865,451,1228.42,987.2,241.22,575,28,28
56,7,7,1096,44.503,473,1245.61,936.46,309.15,559,32,32
