vehicle_id,sequence,event,from_node,to_node,physical_from_node,physical_to_node,departure_time,arrival_time,travel_time,travel_distance_km,charging_time,charged_range_km,remaining_range_before,remaining_range_after,onboard_passengers,related_batch_id,movement_type,from_event,to_event,depT_hhmm,arrT_hhmm
0,0,Movement,1,1,1,1,22,22,0,0.0,22,0.0,160.0,160.0,0,B2,empty_repositioning,Position,Pickup,06:02,06:02
0,1,Pickup,1,1,1,1,25,22,0,0.0,2,0.0,160.0,160.0,1,B2,pickup_service,Pickup,Pickup,06:05,06:02
0,2,Movement,1,10,1,10,25,40,15,47.44,0,0.0,160.0,112.56,1,B2,passenger_flight,Position,Delivery,06:05,06:20
0,3,Delivery,10,10,10,10,43,40,0,0.0,2,8.534,112.56,121.094,0,B2,delivery_service,Delivery,Delivery,06:23,06:20
0,4,Movement,10,10,10,10,46,46,0,0.0,3,12.801,133.895,133.895,0,B27,empty_repositioning,Position,Pickup,06:26,06:26
0,5,Pickup,10,10,10,10,49,46,0,0.0,2,8.534,133.895,142.429,2,B27,pickup_service,Pickup,Pickup,06:29,06:26
0,6,Movement,10,3,10,3,49,66,17,54.92,0,21.335,142.429,87.509,2,B27,passenger_flight,Position,Delivery,06:29,06:46
0,7,Delivery,3,3,3,3,69,66,0,0.0,2,8.534,87.509,96.043,0,B27,delivery_service,Delivery,Delivery,06:49,06:46
0,8,Movement,3,4,3,4,69,78,9,12.6,0,0.0,96.043,83.443,0,B57,empty_repositioning,Position,Pickup,06:49,06:58
0,9,Pickup,4,4,4,4,81,78,0,0.0,2,8.534,83.443,91.977,1,B57,pickup_service,Pickup,Pickup,07:01,06:58
0,10,Movement,4,9,4,9,81,98,17,55.47,0,0.0,91.977,36.507,1,B57,passenger_flight,Position,Delivery,07:01,07:18
0,11,Delivery,9,9,9,9,101,98,0,0.0,2,8.534,36.507,45.041,0,B57,delivery_service,Delivery,Delivery,07:21,07:18
0,12,Movement,9,9,9,9,107,107,0,0.0,6,25.602,70.643,70.643,0,B85,empty_repositioning,Position,Pickup,07:27,07:27
0,13,Pickup,9,9,9,9,110,107,0,0.0,2,8.534,70.643,79.177,1,B85,pickup_service,Pickup,Pickup,07:30,07:27
0,14,Movement,9,6,9,6,115,137,22,74.79,5,55.471,79.177,25.722,1,B85,passenger_flight,Position,Delivery,07:35,07:57
0,15,Delivery,6,6,6,6,140,137,0,0.0,2,8.534,25.722,34.256,0,B85,delivery_service,Delivery,Delivery,08:00,07:57
0,16,Movement,6,6,6,6,157,157,0,0.0,17,72.539,106.795,106.795,0,B207,empty_repositioning,Position,Pickup,08:17,08:17
0,17,Pickup,6,6,6,6,160,157,0,0.0,2,8.534,106.795,115.329,1,B207,pickup_service,Pickup,Pickup,08:20,08:17
0,18,Movement,6,2,6,2,160,173,13,37.0,0,81.073,115.329,78.329,1,B207,passenger_flight,Position,Delivery,08:20,08:33
0,19,Delivery,2,2,2,2,176,173,0,0.0,2,8.534,78.329,86.863,0,B207,delivery_service,Delivery,Delivery,08:36,08:33
0,20,Movement,2,2,2,2,176,176,0,0.0,0,0.0,86.863,86.863,0,B263,empty_repositioning,Position,Pickup,08:36,08:36
0,21,Pickup,2,2,2,2,179,176,0,0.0,2,8.534,86.863,95.397,1,B263,pickup_service,Pickup,Pickup,08:39,08:36
0,22,Movement,2,5,2,5,179,189,10,27.57,0,8.534,95.397,67.827,1,B263,passenger_flight,Position,Delivery,08:39,08:49
0,23,Delivery,5,5,5,5,192,189,0,0.0,2,8.534,67.827,76.361,0,B263,delivery_service,Delivery,Delivery,08:52,08:49
0,24,Movement,5,5,5,5,217,217,0,0.0,25,83.639,160.0,160.0,0,B442,empty_repositioning,Position,Pickup,09:17,09:17
0,25,Pickup,5,5,5,5,220,217,0,0.0,2,0.0,160.0,160.0,1,B442,pickup_service,Pickup,Pickup,09:20,09:17
0,26,Movement,5,2,5,2,220,230,10,27.57,0,83.639,160.0,132.43,1,B442,passenger_flight,Position,Delivery,09:20,09:30
0,27,Delivery,2,2,2,2,233,230,0,0.0,2,8.534,132.43,140.964,0,B442,delivery_service,Delivery,Delivery,09:33,09:30
0,28,Movement,2,2,2,2,233,233,0,0.0,0,0.0,140.964,140.964,0,B466,empty_repositioning,Position,Pickup,09:33,09:33
0,29,Pickup,2,2,2,2,236,233,0,0.0,2,8.534,140.964,149.498,1,B466,pickup_service,Pickup,Pickup,09:36,09:33
0,30,Movement,2,5,2,5,236,246,10,27.57,0,8.534,149.498,121.928,1,B466,passenger_flight,Position,Delivery,09:36,09:46
0,31,Delivery,5,5,5,5,249,246,0,0.0,2,8.534,121.928,130.462,0,B466,delivery_service,Delivery,Delivery,09:49,09:46
0,32,Movement,5,5,5,5,267,267,0,0.0,18,29.538,160.0,160.0,0,B609,empty_repositioning,Position,Pickup,10:07,10:07
0,33,Pickup,5,5,5,5,270,267,0,0.0,2,0.0,160.0,160.0,1,B609,pickup_service,Pickup,Pickup,10:10,10:07
0,34,Movement,5,8,5,8,270,286,16,47.79,0,29.538,160.0,112.21,1,B609,passenger_flight,Position,Delivery,10:10,10:26
0,35,Delivery,8,8,8,8,289,286,0,0.0,2,8.534,112.21,120.744,0,B609,delivery_service,Delivery,Delivery,10:29,10:26
0,36,Movement,8,8,8,8,289,289,0,0.0,0,0.0,120.744,120.744,0,B720,empty_repositioning,Position,Pickup,10:29,10:29
0,37,Pickup,8,8,8,8,292,289,0,0.0,2,8.534,120.744,129.278,1,B720,pickup_service,Pickup,Pickup,10:32,10:29
0,38,Movement,8,6,8,6,292,311,19,60.41,0,8.534,129.278,68.868,1,B720,passenger_flight,Position,Delivery,10:32,10:51
0,39,Delivery,6,6,6,6,314,311,0,0.0,2,8.534,68.868,77.402,0,B720,delivery_service,Delivery,Delivery,10:54,10:51
0,40,Movement,6,6,6,6,325,325,0,0.0,11,46.937,124.339,124.339,0,B906,empty_repositioning,Position,Pickup,11:05,11:05
0,41,Pickup,6,6,6,6,328,325,0,0.0,2,8.534,124.339,132.873,1,B906,pickup_service,Pickup,Pickup,11:08,11:05
0,42,Movement,6,9,6,9,328,350,22,74.79,0,55.471,132.873,58.083,1,B906,passenger_flight,Position,Delivery,11:08,11:30
0,43,Delivery,9,9,9,9,353,350,0,0.0,2,8.534,58.083,66.617,0,B906,delivery_service,Delivery,Delivery,11:33,11:30
0,44,Movement,9,9,9,9,358,358,0,0.0,5,21.335,87.952,87.952,0,B1049,empty_repositioning,Position,Pickup,11:38,11:38
0,45,Pickup,9,9,9,9,361,358,0,0.0,2,8.534,87.952,96.486,1,B1049,pickup_service,Pickup,Pickup,11:41,11:38
0,46,Movement,9,10,9,10,361,382,21,69.89,0,29.869,96.486,26.596,1,B1049,passenger_flight,Position,Delivery,11:41,12:02
0,47,Delivery,10,10,10,10,385,382,0,0.0,2,8.534,26.596,35.13,0,B1049,delivery_service,Delivery,Delivery,12:05,12:02
0,48,Movement,10,10,10,10,387,387,0,0.0,2,8.534,43.664,43.664,0,B1158,empty_repositioning,Position,Pickup,12:07,12:07
0,49,Pickup,10,10,10,10,390,387,0,0.0,2,8.534,43.664,52.198,1,B1158,pickup_service,Pickup,Pickup,12:10,12:07
0,50,Movement,10,3,10,3,402,419,17,54.92,12,68.272,52.198,48.482,1,B1158,passenger_flight,Position,Delivery,12:22,12:39
0,51,Delivery,3,3,3,3,422,419,0,0.0,2,8.534,48.482,57.016,0,B1158,delivery_service,Delivery,Delivery,12:42,12:39
