horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3320,0,1801486,20.031
20,50,23,23,16,16,3304,0,4087328,20.022
40,70,26,24,13,29,3291,0,4727852,20.091
60,90,32,24,15,44,3276,0,5636959,20.208
80,110,41,25,15,59,3257,4,7133730,20.126
100,130,50,31,18,77,3233,10,8462300,20.227
120,150,82,61,19,96,3207,17,13274395,20.268
140,170,138,130,82,178,3118,24,23032131,20.015
160,190,114,85,59,237,3053,30,18801516,20.014
180,210,111,76,53,290,2984,46,19656157,20.644
200,230,94,62,40,330,2927,63,16481438,20.42
220,250,80,53,33,363,2885,72,13487275,20.123
240,270,124,109,43,406,2834,80,23372309,20.015
260,290,186,160,94,500,2731,89,31256636,20.019
280,310,195,151,84,584,2629,107,31969429,20.046
300,330,192,148,87,671,2520,129,32755477,20.027
320,350,167,136,81,752,2418,150,28469158,20.013
340,370,135,108,73,825,2332,163,21506891,20.013
360,390,100,83,61,886,2260,174,16437422,20.681
380,410,84,65,36,922,2216,182,14576183,20.391
400,430,88,75,48,970,2162,188,15288965,20.551
420,450,74,65,46,1016,2110,194,12682378,20.201
440,470,60,54,31,1047,2077,196,10176637,20.326
460,490,73,57,34,1081,2039,200,12436899,20.035
480,510,95,76,37,1118,1996,206,15137735,20.612
500,530,144,132,79,1197,1907,216,23802992,20.011
520,550,137,125,74,1271,1829,220,22238807,20.022
540,570,144,126,75,1346,1743,231,23943012,20.015
560,590,131,120,77,1423,1656,241,21569402,20.015
580,610,138,132,79,1502,1574,244,22892215,20.021
600,630,165,146,70,1572,1501,247,24975075,20.023
620,650,222,169,104,1676,1379,265,36195451,20.021
640,670,254,166,87,1763,1261,296,43773253,20.029
660,690,319,64,27,1790,1178,352,65200096,20.067
680,710,459,3,3,1793,1025,502,130732151,20.033
700,730,525,2,2,1795,813,712,160824422,20.049
720,750,481,2,2,1797,600,923,148142652,20.039
740,770,396,2,2,1799,392,1129,123876577,20.045
760,790,311,57,41,1840,234,1246,74168791,20.037
780,810,234,149,112,1952,47,1321,45153386,20.035
800,816,47,25,25,1977,12,1331,9920232,20.066
