batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2064,R2064,7,4,5,57,9,48,0,1485500,136.0,654.0,16:34,666.0,16:46,Complete
B2065,R2065,9,10,8,177,21,156,0,2561300,0.0,654.0,16:34,685.0,17:05,Complete
B2066,,1,5,4,27,9,18,1,1190900,,,,,,Overdue
B2067,R2067,2,5,5,59,11,48,0,1490100,133.0,655.0,16:35,668.0,16:48,Complete
B2068,R2068,4,2,5,56,8,48,0,1488700,107.0,655.0,16:35,666.0,16:46,Complete
B2069,,7,1,5,56,9,47,1,1486500,,,,,,Overdue
B2070,R2070,9,10,8,177,21,156,0,2561300,0.0,657.0,16:37,688.0,17:08,Complete
B2071,,1,5,4,27,10,17,1,1190900,,,,,,Overdue
B2072,,2,1,5,54,9,45,1,1464000,,,,,,Overdue
B2073,R2073,2,4,5,54,8,46,0,1468700,160.0,656.0,16:36,667.0,16:47,Complete
B2074,R2074,2,6,6,92,13,79,0,1795500,75.0,656.0,16:36,672.0,16:52,Complete
B2075,R2075,7,4,5,57,9,48,0,1485500,138.0,656.0,16:36,668.0,16:48,Complete
B2076,R2076,9,3,5,121,17,104,0,2047100,42.0,657.0,16:37,677.0,16:57,Complete
B2077,R2077,9,4,7,125,18,107,0,2078400,21.0,656.0,16:36,676.0,16:56,Complete
B2078,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2079,R2079,3,9,5,122,17,105,0,2057100,22.0,657.0,16:37,677.0,16:57,Complete
B2080,R2080,4,2,5,56,8,48,0,1488700,110.0,657.0,16:37,668.0,16:48,Complete
B2081,R2081,4,7,4,57,9,48,0,1486500,162.0,658.0,16:38,670.0,16:50,Complete
B2082,R2082,7,6,6,78,15,63,0,1639300,44.0,657.0,16:37,678.0,16:58,Complete
B2083,,8,3,5,57,12,45,1,1461100,,,,,,Overdue
B2084,R2084,9,10,8,177,21,156,0,2561300,3.0,657.0,16:37,685.0,17:05,Complete
B2085,R2085,2,5,5,59,10,49,0,1490100,139.0,658.0,16:38,671.0,16:51,Complete
B2086,R2086,3,10,8,83,17,66,0,1658800,127.0,658.0,16:38,678.0,16:58,Complete
B2087,R2087,4,9,6,124,18,106,0,2069400,10.0,658.0,16:38,678.0,16:58,Complete
B2088,R2088,4,10,5,68,14,54,0,1541900,50.0,658.0,16:38,675.0,16:55,Complete
B2089,R2089,6,3,5,81,12,69,0,1696600,37.0,658.0,16:38,673.0,16:53,Complete
B2090,R2090,7,4,5,57,9,48,0,1485500,141.0,658.0,16:38,670.0,16:50,Complete
B2091,R2091,10,9,4,171,21,150,0,2505300,26.0,658.0,16:38,682.0,17:02,Complete
B2092,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2093,,1,5,4,27,9,18,1,1190900,,,,,,Overdue
B2094,R2094,1,9,6,113,18,95,0,1953700,31.0,659.0,16:39,680.0,17:00,Complete
B2095,R2095,2,4,5,54,8,46,0,1468700,161.0,659.0,16:39,670.0,16:50,Complete
B2096,R2096,2,5,5,59,11,48,0,1490100,144.0,659.0,16:39,672.0,16:52,Complete
B2097,,3,4,5,45,9,36,1,1377400,,,,,,Overdue
B2098,,3,5,6,50,10,40,1,1418200,,,,,,Overdue
B2099,R2099,3,9,5,122,17,105,0,2057100,25.0,659.0,16:39,679.0,16:59,Complete
B2100,R2100,4,7,4,57,9,48,0,1486500,118.0,659.0,16:39,671.0,16:51,Complete
B2101,,5,3,6,50,10,40,1,1418200,,,,,,Overdue
B2102,R2102,7,5,6,63,12,51,0,1517500,49.0,659.0,16:39,674.0,16:54,Complete
B2103,,1,5,4,27,10,17,1,1190900,,,,,,Overdue
B2104,R2104,1,9,6,113,18,95,1,1963700,115.0,660.0,16:40,681.0,17:01,Complete
B2105,,2,5,5,59,10,49,1,1500100,,,,,,Overdue
B2106,R2106,2,6,6,92,13,79,1,1805500,79.0,660.0,16:40,679.0,16:59,Complete
B2107,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2108,R2108,6,8,5,114,19,95,1,1968000,27.0,660.0,16:40,682.0,17:02,Complete
B2109,R2109,9,3,5,121,17,104,1,2057100,43.0,660.0,16:40,680.0,17:00,Complete
B2110,,1,2,5,54,9,45,1,1464000,,,,,,Overdue
B2111,,1,6,5,23,9,14,1,1150600,,,,,,Overdue
B2112,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2113,R2113,7,6,6,78,15,63,1,1649300,77.0,661.0,16:41,678.0,16:58,Complete
B2114,R2114,9,5,6,139,19,120,1,2213000,11.0,661.0,16:41,683.0,17:03,Complete
B2115,R2115,9,10,8,177,21,156,1,2571300,5.0,661.0,16:41,688.0,17:08,Complete
B2116,,1,6,5,23,9,14,1,1150600,,,,,,Overdue
B2117,,1,10,7,61,16,45,2,1478400,,,,,,Overdue
B2118,,2,4,5,54,8,46,1,1478700,,,,,,Overdue
B2119,,3,5,6,50,10,40,1,1418200,,,,,,Overdue
B2120,R2120,3,6,5,83,12,71,1,1726600,51.0,662.0,16:42,677.0,16:57,Complete
B2121,,4,7,4,57,9,48,1,1496500,,,,,,Overdue
B2122,,7,1,5,56,9,47,1,1486500,,,,,,Overdue
B2123,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2124,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2125,R2125,2,6,6,92,13,79,1,1805500,79.0,663.0,16:43,682.0,17:02,Complete
B2126,,3,1,5,51,8,43,1,1448100,,,,,,Overdue
B2127,R2127,3,6,5,83,12,71,1,1726600,85.0,663.0,16:43,678.0,16:58,Complete
B2128,R2128,4,9,6,124,17,107,1,2079400,8.0,663.0,16:43,683.0,17:03,Complete
B2129,,6,7,5,77,15,62,2,1650300,,,,,,Overdue
B2130,,7,1,5,56,9,47,1,1486500,,,,,,Overdue
B2131,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2132,,7,5,6,63,12,51,2,1537500,,,,,,Overdue
B2133,R2133,9,4,7,125,17,108,1,2088400,23.0,663.0,16:43,686.0,17:06,Complete
B2134,R2134,9,5,6,139,19,120,1,2213000,12.0,663.0,16:43,685.0,17:05,Complete
B2135,R2135,9,10,8,177,21,156,1,2571300,5.0,664.0,16:44,691.0,17:11,Complete
B2136,R2136,10,3,7,83,17,66,1,1669800,1.0,664.0,16:44,698.0,17:18,Complete
B2137,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2138,,2,5,5,59,10,49,1,1500100,,,,,,Overdue
B2139,,3,5,6,50,10,40,2,1428200,,,,,,Overdue
B2140,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2141,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2142,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2143,,1,6,5,23,9,14,1,1150600,,,,,,Overdue
B2144,,2,5,5,59,11,48,2,1510100,,,,,,Overdue
B2145,,3,5,6,50,10,40,2,1428200,,,,,,Overdue
B2146,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2147,,4,7,4,57,9,48,1,1496500,,,,,,Overdue
B2148,R2148,9,4,7,125,17,108,1,2088400,23.0,666.0,16:46,689.0,17:09,Complete
B2149,,1,5,4,27,10,17,2,1200900,,,,,,Overdue
B2150,,1,6,5,23,9,14,2,1160600,,,,,,Overdue
B2151,,2,1,5,54,9,45,2,1474000,,,,,,Overdue
B2152,R2152,2,6,6,92,13,79,1,1805500,81.0,666.0,16:46,682.0,17:02,Complete
B2153,,3,1,5,51,8,43,1,1448100,,,,,,Overdue
B2154,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2155,,4,10,5,68,14,54,2,1561900,,,,,,Overdue
B2156,,7,4,5,57,9,48,2,1505500,,,,,,Overdue
B2157,R2157,9,4,7,125,18,107,1,2088400,32.0,668.0,16:48,688.0,17:08,Complete
B2158,R2158,9,10,8,177,21,156,1,2571300,7.0,666.0,16:46,690.0,17:10,Complete
B2159,R2159,10,3,7,83,17,66,1,1669800,1.0,667.0,16:47,701.0,17:21,Complete
B2160,,1,5,4,27,9,18,2,1200900,,,,,,Overdue
B2161,,2,1,5,54,9,45,2,1474000,,,,,,Overdue
B2162,,2,4,5,54,8,46,2,1488700,,,,,,Overdue
B2163,,2,5,5,59,11,48,2,1510100,,,,,,Overdue
B2164,R2164,3,6,5,83,12,71,1,1726600,108.0,667.0,16:47,682.0,17:02,Complete
B2165,,4,2,5,56,8,48,2,1508700,,,,,,Overdue
B2166,,7,4,5,57,9,48,2,1505500,,,,,,Overdue
B2167,R2167,8,6,6,110,19,91,1,1927000,17.0,667.0,16:47,689.0,17:09,Complete
B2168,R2168,9,4,7,125,17,108,1,2088400,34.0,667.0,16:47,690.0,17:10,Complete
B2169,R2169,9,5,6,139,19,120,1,2213000,16.0,667.0,16:47,692.0,17:12,Complete
B2170,R2170,10,3,7,83,17,66,1,1669800,89.0,667.0,16:47,690.0,17:10,Complete
B2171,,2,4,5,54,8,46,2,1488700,,,,,,Overdue
B2172,R2172,2,6,6,92,13,79,1,1805500,83.0,668.0,16:48,684.0,17:04,Complete
B2173,,3,5,6,50,10,40,2,1428200,,,,,,Overdue
B2174,,4,2,5,56,8,48,2,1508700,,,,,,Overdue
B2175,R2175,9,1,8,114,18,96,1,1971700,58.0,668.0,16:48,694.0,17:14,Complete
B2176,R2176,9,4,7,125,18,107,1,2088400,34.0,670.0,16:50,693.0,17:13,Complete
B2177,,1,6,5,23,9,14,2,1160600,,,,,,Overdue
B2178,,2,1,5,54,9,45,2,1474000,,,,,,Overdue
B2179,,2,5,5,59,11,48,2,1510100,,,,,,Overdue
B2180,,3,5,6,50,10,40,2,1428200,,,,,,Overdue
B2181,,4,10,5,68,14,54,2,1561900,,,,,,Overdue
B2182,,6,7,5,77,15,62,2,1650300,,,,,,Overdue
B2183,R2183,9,4,7,125,17,108,1,2088400,38.0,669.0,16:49,693.0,17:13,Complete
B2184,R2184,9,5,6,139,19,120,1,2213000,15.0,669.0,16:49,691.0,17:11,Complete
B2185,R2185,10,3,7,83,17,66,1,1669800,89.0,670.0,16:50,693.0,17:13,Complete
B2186,,1,2,5,54,9,45,2,1474000,,,,,,Overdue
B2187,,1,7,5,55,9,46,2,1486500,,,,,,Overdue
B2188,,1,10,7,61,16,45,2,1478400,,,,,,Overdue
B2189,,2,4,5,54,8,46,2,1488700,,,,,,Overdue
B2190,R2190,2,10,8,106,18,88,1,1891900,29.0,670.0,16:50,691.0,17:11,Complete
B2191,R2191,3,9,5,122,17,105,1,2067100,30.0,670.0,16:50,690.0,17:10,Complete
B2192,,4,2,5,56,8,48,2,1508700,,,,,,Overdue
B2193,R2193,4,9,6,124,18,106,1,2079400,13.0,670.0,16:50,690.0,17:10,Complete
B2194,,7,4,5,57,9,48,2,1505500,,,,,,Overdue
B2195,R2195,9,5,6,139,19,120,1,2213000,16.0,670.0,16:50,695.0,17:15,Complete
B2196,,1,6,5,23,9,14,1,1150600,,,,,,Overdue
B2197,,2,5,5,59,11,48,1,1500100,,,,,,Overdue
B2198,,3,4,5,45,9,36,1,1377400,,,,,,Overdue
B2199,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2200,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
B2201,,8,4,5,76,13,63,1,1640200,,,,,,Overdue
B2202,,1,3,5,49,8,41,1,1428100,,,,,,Overdue
B2203,,2,4,5,54,8,46,1,1478700,,,,,,Overdue
B2204,,3,4,5,45,9,36,1,1377400,,,,,,Overdue
B2205,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2206,,7,6,6,78,14,64,1,1649300,,,,,,Overdue
B2207,,1,2,5,54,9,45,1,1464000,,,,,,Overdue
B2208,R2208,1,9,6,113,18,95,0,1953700,45.0,673.0,16:53,694.0,17:14,Complete
B2209,,3,5,6,50,10,40,1,1418200,,,,,,Overdue
B2210,,4,2,5,56,8,48,1,1498700,,,,,,Overdue
B2211,,7,4,5,57,9,48,1,1495500,,,,,,Overdue
