num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
20,4324628100,541,2794,3335,413.959,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_20,False
25,4052800000,692,2643,3335,414.354,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_25,False
30,3791117200,841,2494,3335,414.006,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_30,False
35,3509684500,1007,2328,3335,412.975,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_35,False
40,3246907100,1167,2168,3335,413.622,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_40,False
45,3028099800,1307,2028,3335,413.416,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_45,False
50,2787365600,1458,1877,3335,413.43,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_50,False
55,2547743200,1608,1727,3335,412.315,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_55,False
60,2362999500,1731,1604,3335,412.162,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_60,False
65,2156255300,1867,1468,3335,412.679,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_65,False
70,1916618300,2025,1310,3335,412.319,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_70,False
75,1796751600,2107,1228,3335,412.922,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_75,False
80,1626431300,2222,1113,3335,412.46,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_80,False
85,1529234000,2288,1047,3335,413.895,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_85,False
90,1528699300,2295,1040,3335,413.239,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_90,True
95,1658660000,2215,1120,3335,414.299,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_95,False
100,1550595800,2281,1054,3335,414.166,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_100,False
