vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1094,43.778,573,1821.29,1724.69,96.6,459,31,31
1,2,2,1088,51.793,576,1852.32,1728.98,123.34,446,33,33
2,3,3,1121,38.745,577,1730.18,1492.51,237.67,480,32,32
3,4,4,1114,15.988,576,1823.93,1725.42,98.51,474,32,32
4,5,5,1098,107.438,566,1768.94,1679.81,89.13,468,32,32
5,6,6,1129,59.312,613,1857.02,1646.19,210.83,444,36,36
6,7,7,1086,72.944,558,1756.58,1630.47,126.11,470,29,29
7,8,8,1101,42.671,504,1504.18,1394.36,109.82,537,30,30
8,9,9,1090,36.154,541,1610.21,1437.98,172.23,489,30,30
9,10,10,1102,33.414,528,1637.31,1542.22,95.09,508,33,33
10,1,1,1092,55.344,565,1770.45,1540.64,229.81,467,30,30
11,2,2,1102,62.824,528,1596.22,1452.45,143.77,508,33,33
12,3,3,1091,56.253,537,1622.12,1564.01,58.11,476,39,39
13,4,4,1079,26.457,467,1472.03,1379.3,92.73,562,25,25
14,5,5,1041,15.866,525,1654.74,1508.41,146.33,458,29,29
15,6,6,1096,63.629,560,1684.99,1551.42,133.57,472,32,32
16,7,7,1084,42.977,526,1623.04,1492.08,130.96,494,32,32
17,8,8,1041,97.714,476,1446.28,1428.24,18.04,501,32,32
18,9,9,1091,107.879,497,1451.74,1293.35,158.39,538,28,28
19,10,10,1104,68.411,565,1711.77,1478.46,233.31,473,33,33
20,1,1,1108,25.167,529,1597.53,1456.58,140.95,515,32,32
21,2,2,1051,45.918,452,1373.51,1176.92,196.59,547,26,26
22,3,3,1113,57.613,540,1606.01,1487.5,118.51,499,37,37
23,4,4,1104,33.323,558,1674.81,1419.52,255.29,484,31,31
24,5,5,1013,98.288,452,1306.72,1171.83,134.89,501,30,30
25,6,6,1074,25.241,504,1494.68,1287.32,207.36,506,32,32
26,7,7,1108,71.576,492,1415.97,1226.01,189.96,556,30,30
27,8,8,1118,96.814,489,1400.31,1251.12,149.19,565,32,32
28,9,9,988,113.064,422,1242.02,1051.81,190.21,512,27,27
29,10,10,1011,43.174,507,1454.06,1216.38,237.68,442,31,31
30,1,1,1100,107.368,518,1472.72,1293.04,179.68,516,33,33
31,2,2,1107,60.716,489,1366.31,1069.63,296.68,560,29,29
32,3,3,1123,52.233,583,1613.28,1228.71,384.57,474,33,33
33,4,4,1097,19.078,567,1561.68,1284.09,277.59,452,39,39
34,5,5,1110,31.704,598,1720.13,1314.99,405.14,444,34,34
35,6,6,1108,72.528,493,1365.92,1117.03,248.89,551,32,32
36,7,7,1127,79.362,507,1464.05,1235.4,228.65,560,30,30
37,8,8,955,83.454,445,1247.23,1061.5,185.73,450,30,30
38,9,9,1098,50.732,463,1353.75,1056.33,297.42,583,26,26
39,10,10,1082,62.769,500,1408.51,1267.29,141.22,512,35,35
40,1,1,998,42.876,432,1267.46,1043.07,224.39,518,24,24
41,2,2,956,50.562,484,1361.07,983.58,377.49,418,27,27
42,3,3,1030,56.687,511,1446.79,1198.84,247.95,457,31,31
43,4,4,942,35.41,444,1230.69,950.61,280.08,442,28,28
44,5,5,1081,37.36,535,1516.19,1187.21,328.98,486,30,30
45,6,6,1031,25.474,477,1383.2,1091.91,291.29,500,27,27
46,7,7,1014,26.008,450,1209.91,945.34,264.57,504,30,30
47,8,8,1028,38.114,467,1297.78,995.77,302.01,511,25,25
48,9,9,1065,41.577,415,1153.22,869.4,283.82,596,27,27
49,10,10,1092,35.78,502,1421.93,1129.33,292.6,534,28,28
50,1,1,1011,58.034,528,1440.16,1066.54,373.62,419,32,32
51,2,2,1028,53.8,480,1254.45,1005.0,249.45,482,33,33
52,3,3,1010,60.284,455,1232.64,947.92,284.72,501,27,27
53,4,4,1026,103.624,390,1063.05,797.71,265.34,592,22,22
54,5,5,1075,53.911,463,1228.7,949.89,278.81,554,29,29
55,6,6,1082,16.579,418,1171.0,862.53,308.47,622,21,21
56,7,7,1014,45.829,463,1251.42,920.97,330.45,493,29,29
57,8,8,1025,84.23,472,1302.18,1008.01,294.17,493,30,30
58,9,9,1085,60.834,425,1177.92,873.93,303.99,614,23,23
