,1,2,3,4,5,6,7,8,9,10
1,0.0,13.61,9.61,4.98,14.88,23.39,21.03,41.05,57.72,47.44
2,13.61,0.0,4.08,16.13,27.57,37.0,10.2,32.38,50.24,57.66
3,9.61,4.08,0.0,12.6,23.93,32.98,13.33,35.17,52.78,54.92
4,4.98,16.13,12.6,0.0,11.45,22.06,21.43,39.54,55.47,42.86
5,14.88,27.57,23.93,11.45,0.0,12.76,32.24,47.79,62.04,33.52
6,23.39,37.0,32.98,22.06,12.76,0.0,43.48,60.41,74.79,35.74
7,21.03,10.2,13.33,21.43,32.24,43.48,0.0,22.2,40.12,57.99
8,41.05,32.38,35.17,39.54,47.79,60.41,22.2,0.0,18.04,63.17
9,57.72,50.24,52.78,55.47,62.04,74.79,40.12,18.04,0.0,69.89
10,47.44,57.66,54.92,42.86,33.52,35.74,57.99,63.17,69.89,0.0
