,1,2,3,4,5,6,7,8,9,10
1,0,7.1,5.69,3.8,7.51,7.44,6.85,11.86,16.03,13.46
2,7.1,0,3.39,5.63,8.49,10.85,5.91,9.69,14.16,16.01
3,5.69,3.39,0,6.76,7.58,9.84,7,10.39,14.79,15.32
4,3.8,5.63,6.76,0,6.36,7.11,6.95,11.48,15.46,12.31
5,7.51,8.49,7.58,6.36,0,6.81,9.65,13.54,17.1,9.97
6,7.44,10.85,9.84,7.11,6.81,0,12.47,16.7,20.29,10.53
7,6.85,5.91,7,6.95,9.65,12.47,0,7.15,11.63,16.09
8,11.86,9.69,10.39,11.48,13.54,16.7,7.15,0,6.11,17.39
9,16.03,14.16,14.79,15.46,17.1,20.29,11.63,6.11,0,19.07
10,13.46,16.01,15.32,12.31,9.97,10.53,16.09,17.39,19.07,0
