num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory
0,6901927700,0,4283,4283,0.458,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_0
1,6836185100,36,4247,4283,495.807,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_1
2,6760638400,80,4203,4283,971.949,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_2
3,6694118500,120,4163,4283,552.726,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_3
4,6619253000,154,4129,4283,954.431,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_4
5,6539255400,212,4071,4283,1036.414,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_5
6,6472797900,251,4032,4283,1162.706,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_6
7,6372125900,309,3974,4283,1489.803,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_7
8,6317745600,341,3942,4283,1197.778,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_8
9,6224234600,396,3887,4283,1527.513,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_9
10,6170358300,432,3851,4283,1676.909,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_10
11,6101579000,473,3810,4283,2191.705,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_11
12,6005163000,535,3748,4283,1697.983,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_12
13,5952957600,558,3725,4283,2218.715,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_13
14,5901032000,589,3694,4283,2002.401,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_14
15,5811426900,651,3632,4283,2269.625,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_15
16,5748704600,686,3597,4283,2112.337,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_16
17,5665387500,734,3549,4283,1945.484,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_17
18,5603923700,779,3504,4283,2117.194,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_18
19,5567509000,791,3492,4283,2031.441,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_19
20,5482652600,843,3440,4283,1893.241,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_20
21,5408597800,903,3380,4283,2080.369,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_21
22,5324494400,952,3331,4283,2082.676,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_22
23,5261785200,987,3296,4283,2496.431,/mnt/c/Users/c/Desktop/대학생활/학연생/새로운_경로방식/PDPTW_Rolling_Horizon/자료/결과/CuOpt/Penalty_per_vehicles/vehicles_23
