revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
50000,50,258671221,336165227,890,2445,3335,822.556
50000,55,245635743,330723289,1006,2329,3335,822.397
50000,60,246560222,334526225,1020,2315,3335,822.851
50000,65,240231249,335507066,1076,2259,3335,822.704
50000,70,253787119,339310012,982,2353,3335,822.226
50000,75,255222864,343962596,986,2349,3335,822.587
50000,80,244716363,338037815,1066,2269,3335,822.357
50000,85,238049481,333384343,1100,2235,3335,822.778
50000,90,235703064,333873372,1128,2207,3335,822.414
50000,95,231985044,334285691,1165,2170,3335,822.695
50000,100,228725005,334752361,1193,2142,3335,822.473
50000,105,224403271,333679183,1233,2102,3335,822.902
50000,110,220924136,332796593,1269,2066,3335,823.661
50000,115,217246091,332130573,1303,2032,3335,822.95
50000,120,208452623,330256251,1381,1954,3335,825.189
50000,125,212291144,332777993,1348,1987,3335,822.679
50000,130,210144827,332921907,1369,1966,3335,822.699
50000,135,225562982,334068998,1243,2092,3335,823.436
50000,140,201772781,331532236,1450,1885,3335,823.18
50000,145,227124185,333743805,1235,2100,3335,823.731
50000,150,227033689,334652275,1247,2088,3335,822.973
