vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1093,45.587,582,1805.23,1704.46,100.77,447,32,32
1,2,2,1087,53.751,565,1795.66,1702.83,92.83,458,32,32
2,3,3,1112,85.684,575,1754.93,1649.79,105.14,469,34,34
3,4,4,1098,64.586,551,1740.18,1590.48,149.7,489,29,29
4,5,5,1093,51.024,551,1766.85,1661.95,104.9,480,31,31
5,6,6,1113,18.841,611,1839.5,1664.31,175.19,428,37,37
6,7,7,1112,61.261,509,1557.25,1464.33,92.92,543,30,30
7,8,8,1094,95.024,502,1585.77,1558.12,27.65,534,29,29
8,9,9,1091,23.83,521,1586.93,1490.64,96.29,508,31,31
9,10,10,1102,78.84,546,1675.76,1631.86,43.9,482,37,37
10,1,1,1113,36.107,578,1685.9,1581.53,104.37,465,35,35
11,2,2,1062,53.541,510,1582.35,1458.61,123.74,490,31,31
12,3,3,1077,35.444,541,1629.6,1490.1,139.5,468,34,34
13,4,4,1080,45.829,564,1778.3,1514.73,263.57,458,29,29
14,5,5,1100,29.855,541,1666.5,1453.23,213.27,503,28,28
15,6,6,1089,27.113,532,1645.59,1378.66,266.93,497,30,30
16,7,7,1089,37.582,516,1545.2,1307.25,237.95,513,30,30
17,8,8,1101,40.534,524,1577.54,1363.99,213.55,517,30,30
18,9,9,1118,26.99,538,1633.56,1417.75,215.81,516,32,32
19,10,10,1117,32.876,601,1826.44,1555.05,271.39,448,34,34
20,1,1,997,43.679,491,1511.17,1397.22,113.95,444,31,31
21,2,2,1107,19.894,531,1547.58,1445.72,101.86,508,34,34
22,3,3,1115,47.556,573,1675.78,1460.52,215.26,480,31,31
23,4,4,1100,23.986,478,1468.19,1414.86,53.33,564,29,29
24,5,5,1105,90.044,565,1616.1,1448.08,168.02,470,35,35
25,6,6,1101,29.303,506,1484.7,1376.94,107.76,531,32,32
26,7,7,1049,81.622,484,1386.54,1179.31,207.23,509,28,28
27,8,8,1112,84.468,540,1592.9,1351.43,241.47,510,31,31
28,9,9,1141,32.522,563,1665.27,1341.97,323.3,516,31,31
29,10,10,1010,33.793,466,1332.2,1174.08,158.12,482,31,31
30,1,1,1022,73.25,467,1352.68,1187.76,164.92,499,28,28
31,2,2,1027,52.015,485,1409.71,1044.67,365.04,486,28,28
32,3,3,1005,60.284,505,1361.79,1166.01,195.78,430,35,35
33,4,4,1007,57.594,461,1306.14,1098.23,207.91,484,31,31
34,5,5,958,41.641,449,1232.61,1027.03,205.58,447,31,31
35,6,6,1101,25.287,486,1379.28,1202.79,176.49,547,34,34
36,7,7,937,53.425,440,1161.88,919.65,242.23,443,27,27
37,8,8,932,75.704,377,1052.65,919.71,132.94,499,28,28
38,9,9,1114,60.834,463,1346.41,1091.31,255.1,595,28,28
39,10,10,1089,65.868,500,1421.04,1158.76,262.28,527,31,31
40,1,1,1106,21.716,508,1448.21,1254.72,193.49,538,30,30
41,2,2,944,43.504,386,1073.02,879.73,193.29,506,26,26
42,3,3,980,58.034,379,1100.11,936.9,163.21,553,24,24
43,4,4,946,38.274,457,1262.43,952.33,310.1,433,28,28
44,5,5,1011,51.024,402,1155.18,898.64,256.54,563,23,23
45,6,6,1131,19.528,517,1474.7,1163.73,310.97,556,29,29
46,7,7,947,53.624,408,1067.53,864.9,202.63,485,27,27
47,8,8,1009,23.801,466,1239.59,906.58,333.01,487,28,28
48,9,9,993,100.168,447,1282.47,885.47,397.0,500,23,23
49,10,10,1091,15.825,549,1538.26,1160.04,378.22,476,33,33
50,1,1,1034,44.509,482,1376.12,948.43,427.69,504,24,24
51,2,2,983,60.574,476,1299.31,997.46,301.85,449,29,29
52,3,3,1017,38.044,448,1235.78,915.6,320.18,517,26,26
53,4,4,1100,125.674,553,1535.99,1215.15,320.84,479,34,34
54,5,5,1064,72.882,464,1242.18,947.59,294.59,542,29,29
55,6,6,1096,25.834,528,1488.0,1204.74,283.26,504,32,32
56,7,7,1024,60.381,474,1299.8,910.95,388.85,490,30,30
57,8,8,1080,55.385,396,1149.08,914.45,234.63,632,26,26
58,9,9,1135,33.975,558,1489.7,1195.08,294.62,507,35,35
59,10,10,1069,72.537,483,1317.07,1104.78,212.29,524,31,31
