revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
150000,50,490964793,683800778,1807,1528,3335,825.242
150000,55,440935911,651286220,1956,1379,3335,824.987
150000,60,404242689,627966245,2073,1262,3335,825.138
150000,65,366556503,605482120,2186,1149,3335,825.1
150000,70,332598660,580729470,2291,1044,3335,827.448
150000,75,300152795,562863353,2396,939,3335,825.04
150000,80,267679295,539203061,2494,841,3335,826.274
150000,85,241639391,522001323,2577,758,3335,824.45
150000,90,209966957,500486204,2670,665,3335,826.008
150000,95,188163821,487452358,2739,596,3335,825.957
150000,100,173064249,479621257,2790,545,3335,825.468
150000,105,155380823,468637592,2845,490,3335,826.043
150000,110,139799082,457190023,2895,440,3335,826.521
150000,115,132864974,452664236,2916,419,3335,827.316
150000,120,116793514,441288753,2967,368,3335,828.712
150000,125,107241139,436538595,2996,339,3335,828.603
150000,130,100151351,428266357,3019,316,3335,826.21
150000,135,90962621,421077929,3047,288,3335,827.389
150000,140,84749398,417479655,3065,270,3335,828.643
150000,145,76860371,412874178,3091,244,3335,827.579
150000,150,71222256,407095034,3110,225,3335,827.24
