batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B1,R1,3,9,4,37,06:17,41,06:21,122,17,105,1,2178100,2.0,20.0,06:00,38.0,06:18,Complete
B2,R2,1,10,5,40,06:20,45,06:25,61,16,45,1,1580400,0.0,24.0,06:04,40.0,06:20,Complete
B3,R3,9,4,5,56,06:36,61,06:41,125,17,108,0,2100400,8.0,39.0,06:19,57.0,06:37,Complete
B4,R4,10,3,7,56,06:36,63,06:43,83,17,66,0,1679800,9.0,39.0,06:19,57.0,06:37,Complete
B5,R5,4,9,5,60,06:40,65,06:45,124,17,107,1,2190400,3.0,43.0,06:23,61.0,06:41,Complete
B6,R6,3,10,6,65,06:45,71,06:51,83,17,66,1,1780800,12.0,48.0,06:28,66.0,06:46,Complete
B7,R7,6,2,5,61,06:41,66,06:46,92,13,79,1,1916500,5.0,48.0,06:28,62.0,06:42,Complete
B8,R8,4,9,5,68,06:48,73,06:53,124,17,107,0,2090400,13.0,51.0,06:31,69.0,06:49,Complete
B9,R9,10,3,7,75,06:55,82,07:02,83,17,66,0,1679800,0.0,58.0,06:38,76.0,06:56,Complete
B10,R10,10,4,5,73,06:53,78,06:58,66,14,52,0,1541900,19.0,59.0,06:39,74.0,06:54,Complete
B11,R11,10,4,5,78,06:58,83,07:03,66,14,52,1,1641900,29.0,64.0,06:44,79.0,06:59,Complete
B12,R12,4,9,5,84,07:04,89,07:09,124,18,106,1,2190400,8.0,66.0,06:46,84.0,07:04,Complete
B13,R13,1,10,5,82,07:02,87,07:07,61,15,46,1,1580400,10.0,67.0,06:47,83.0,07:03,Complete
B14,R14,6,1,5,109,07:29,114,07:34,23,9,14,1,1260600,25.0,100.0,07:20,110.0,07:30,Complete
B15,R15,5,7,5,115,07:35,120,07:40,63,12,51,1,1638500,4.0,103.0,07:23,116.0,07:36,Complete
B16,R16,6,1,5,116,07:36,121,07:41,23,9,14,1,1260600,35.0,107.0,07:27,120.0,07:40,Complete
B17,R17,6,1,5,117,07:37,122,07:42,23,9,14,1,1260600,14.0,108.0,07:28,118.0,07:38,Complete
B18,R18,6,1,5,118,07:38,123,07:43,23,9,14,1,1260600,35.0,110.0,07:30,123.0,07:43,Complete
B19,R19,6,3,5,121,07:41,126,07:46,81,12,69,1,1816600,15.0,109.0,07:29,122.0,07:42,Complete
B20,R20,3,9,4,133,07:53,137,07:57,122,17,105,0,2078100,0.0,116.0,07:36,134.0,07:54,Complete
B21,R21,2,4,4,127,07:47,131,07:51,54,8,46,0,1489700,1.0,119.0,07:39,128.0,07:48,Complete
B22,R22,2,4,4,129,07:49,133,07:53,54,8,46,1,1589700,5.0,121.0,07:41,130.0,07:50,Complete
B23,R23,7,4,4,130,07:50,134,07:54,57,9,48,1,1606500,4.0,121.0,07:41,131.0,07:51,Complete
B24,R24,3,8,4,141,08:01,145,08:05,57,12,45,1,1572100,9.0,129.0,07:49,142.0,08:02,Complete
B25,R25,3,8,4,145,08:05,149,08:09,57,12,45,0,1472100,15.0,133.0,07:53,146.0,08:06,Complete
B26,R26,5,3,6,152,08:12,158,08:18,50,10,40,1,1528200,1.0,146.0,08:06,157.0,08:17,Complete
B27,R27,6,7,6,156,08:16,162,08:22,77,14,63,1,1749300,23.0,147.0,08:07,162.0,08:22,Complete
B28,R28,7,4,5,153,08:13,158,08:18,57,9,48,1,1605500,6.0,144.0,08:04,154.0,08:14,Complete
B29,R29,5,3,6,155,08:15,161,08:21,50,10,40,1,1528200,4.0,146.0,08:06,157.0,08:17,Complete
B30,R30,6,1,5,156,08:16,161,08:21,23,9,14,1,1260600,29.0,147.0,08:07,161.0,08:21,Complete
B31,R31,2,4,5,158,08:18,163,08:23,54,8,46,1,1588700,11.0,150.0,08:10,159.0,08:19,Complete
B32,R32,8,2,6,162,08:22,168,08:28,28,12,16,1,1287100,7.0,150.0,08:10,163.0,08:23,Complete
B33,R33,2,1,5,160,08:20,165,08:25,54,9,45,0,1474000,21.0,151.0,08:11,161.0,08:21,Complete
B34,R34,5,3,6,161,08:21,167,08:27,50,10,40,0,1428200,34.0,151.0,08:11,165.0,08:25,Complete
B35,R35,6,1,5,160,08:20,165,08:25,23,9,14,0,1160600,29.0,151.0,08:11,164.0,08:24,Complete
B36,R36,3,1,5,160,08:20,165,08:25,51,8,43,0,1458100,32.0,152.0,08:12,161.0,08:21,Complete
B37,R37,6,1,5,161,08:21,166,08:26,23,9,14,0,1160600,33.0,152.0,08:12,162.0,08:22,Complete
B38,R38,3,1,5,161,08:21,166,08:26,51,8,43,0,1458100,14.0,153.0,08:13,162.0,08:22,Complete
B39,R39,5,3,6,164,08:24,170,08:30,50,10,40,0,1428200,34.0,154.0,08:14,168.0,08:28,Complete
B40,R40,7,4,5,164,08:24,169,08:29,57,9,48,0,1505500,26.0,155.0,08:15,165.0,08:25,Complete
B41,R41,3,9,5,174,08:34,179,08:39,122,17,105,0,2077100,22.0,157.0,08:17,178.0,08:38,Complete
B42,R42,6,1,5,166,08:26,171,08:31,23,9,14,0,1160600,25.0,157.0,08:17,167.0,08:27,Complete
B43,R43,5,3,6,168,08:28,174,08:34,50,10,40,0,1428200,19.0,158.0,08:18,172.0,08:32,Complete
B44,R44,3,1,5,167,08:27,172,08:32,51,8,43,1,1558100,31.0,163.0,08:23,172.0,08:32,Complete
B45,R45,3,9,5,176,08:36,181,08:41,122,17,105,1,2177100,1.0,160.0,08:20,178.0,08:38,Complete
B46,R46,5,3,6,170,08:30,176,08:36,50,10,40,1,1528200,24.0,160.0,08:20,175.0,08:35,Complete
B47,R47,3,4,5,171,08:31,176,08:36,45,9,36,1,1487400,20.0,166.0,08:26,176.0,08:36,Complete
B48,,6,3,5,174,08:34,179,08:39,81,12,69,1,1816600,,,,,,Overdue
B49,R49,5,3,6,174,08:34,180,08:40,50,10,40,1,1528200,24.0,164.0,08:24,178.0,08:38,Complete
B50,R50,6,3,5,178,08:38,183,08:43,81,12,69,1,1816600,11.0,169.0,08:29,182.0,08:42,Complete
B51,R51,9,7,5,180,08:40,185,08:45,95,14,81,1,1938700,2.0,166.0,08:26,181.0,08:41,Complete
B52,R52,6,1,5,176,08:36,181,08:41,23,9,14,1,1260600,21.0,171.0,08:31,181.0,08:41,Complete
B53,R53,7,5,7,180,08:40,187,08:47,63,12,51,1,1636500,16.0,168.0,08:28,187.0,08:47,Complete
B54,R54,2,1,5,178,08:38,183,08:43,54,9,45,1,1574000,7.0,169.0,08:29,179.0,08:39,Complete
