horizon_start,horizon_end,request_id,batch_id,planned_visit,drop_penalty
100,130,R113,B113,True,1168100
120,150,R97,B97,False,1150600
120,150,R98,B98,False,1150600
120,150,R99,B99,True,1462100
120,150,R100,B100,True,2262100
120,150,R101,B101,False,1150600
120,150,R102,B102,True,2250100
120,150,R103,B103,True,1496500
120,150,R104,B104,True,1496500
120,150,R105,B105,True,1496500
120,150,R106,B106,False,1178100
120,150,R107,B107,True,1670800
120,150,R108,B108,True,1639300
120,150,R109,B109,True,2262100
120,150,R110,B110,True,1479700
120,150,R111,B111,True,1639300
120,150,R112,B112,True,1486500
120,150,R113,B113,True,1178100
120,150,R114,B114,True,1630200
120,150,R115,B115,True,1487100
120,150,R116,B116,True,2240100
120,150,R117,B117,True,1510100
120,150,R118,B118,True,1140600
120,150,R119,B119,True,1963700
120,150,R120,B120,True,2503300
120,150,R121,B121,True,1468700
120,150,R122,B122,True,1367400
120,150,R123,B123,True,1450100
120,150,R124,B124,True,1961700
120,150,R125,B125,True,2250100
120,150,R126,B126,True,1468700
120,150,R127,B127,True,1408200
120,150,R128,B128,True,1696600
120,150,R129,B129,True,1393900
120,150,R130,B130,True,1476500
120,150,R131,B131,True,2250100
120,150,R132,B132,True,1950700
120,150,R133,B133,True,1407200
120,150,R134,B134,True,1629200
120,150,R135,B135,True,1658600
120,150,R136,B136,True,1140600
120,150,R137,B137,True,1367400
120,150,R138,B138,True,1452100
120,150,R139,B139,True,1408200
120,150,R140,B140,True,1629300
120,150,R141,B141,True,1476500
120,150,R142,B142,True,1485500
120,150,R143,B143,True,1468700
120,150,R144,B144,True,1408200
120,150,R145,B145,True,1140600
120,150,R146,B146,True,1696600
120,150,R147,B147,True,1485500
120,150,R148,B148,True,1167100
120,150,R149,B149,True,1468700
120,150,R150,B150,True,1438100
120,150,R151,B151,True,1452100
120,150,R152,B152,True,1408200
120,150,R153,B153,True,1140600
120,150,R154,B154,True,1629200
120,150,R155,B155,True,1140600
120,150,R156,B156,True,1468700
120,150,R157,B157,True,1438100
120,150,R158,B158,True,1408200
120,150,R159,B159,True,1140600
