num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory
20,4324628100,541,2794,3335,413.959,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_20
25,4052800000,692,2643,3335,414.354,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_25
30,3791117200,841,2494,3335,414.006,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_30
35,3509684500,1007,2328,3335,412.975,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_35
40,3246907100,1167,2168,3335,413.622,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_40
45,3028099800,1307,2028,3335,413.416,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_45
50,2787365600,1458,1877,3335,413.43,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_50
55,2547743200,1608,1727,3335,412.315,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_55
60,2362999500,1731,1604,3335,412.162,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_60
65,2156255300,1867,1468,3335,412.679,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_65
70,1916618300,2025,1310,3335,412.319,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_70
75,1796751600,2107,1228,3335,412.922,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Original\Pending\100000\vehicles_75
