horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.004
20,50,23,23,16,16,4217,15,883410.0,20.007
40,70,26,26,14,30,4203,15,1001790.0,20.007
60,90,31,31,18,48,4185,15,1080370.0,20.004
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1310900.0,20.006
120,150,73,73,23,119,4114,15,1950330.0,20.139
140,170,132,130,86,205,4026,17,6140350.0,20.49
160,190,110,106,74,279,3949,20,8328780.0,21.222
180,210,96,93,64,343,3882,23,6902020.0,20.264
200,230,81,77,48,391,3830,27,7636910.0,20.485
220,250,72,71,44,435,3785,28,3003590.0,20.336
240,270,114,114,48,483,3737,28,3228200.0,20.202
260,290,179,178,116,599,3620,29,6076970.0,20.011
280,310,174,168,101,700,3513,35,12923490.0,20.014
300,330,167,166,105,805,3407,36,6308250.0,20.021
320,350,145,140,89,894,3316,38,11811960.0,20.019
340,370,124,118,82,976,3229,43,13040390.0,20.008
360,390,88,87,64,1040,3164,44,4400980.0,20.42
380,410,79,79,45,1085,3119,44,2738380.0,20.056
400,430,82,81,54,1139,3065,44,4167820.0,20.337
420,450,68,67,45,1184,3019,45,3740600.0,20.249
440,470,60,60,38,1222,2981,45,2088880.0,20.387
460,490,68,68,39,1261,2942,45,2321750.0,20.452
480,510,89,89,51,1312,2891,45,2807960.0,20.373
500,530,130,130,76,1388,2815,45,3324110.0,20.596
520,550,136,135,89,1477,2725,46,5055010.0,20.012
540,570,131,131,79,1556,2646,46,3420680.0,21.435
560,590,125,124,79,1635,2566,47,4858980.0,20.01
580,610,139,135,82,1717,2481,50,9936670.0,20.017
600,630,164,160,87,1804,2391,53,10616310.0,20.009
620,650,204,200,134,1938,2255,55,11729450.0,20.01
640,670,222,220,121,2059,2132,57,8547550.0,20.013
660,690,285,285,153,2212,1979,57,7385350.0,20.016
680,710,355,342,204,2416,1762,70,26681020.0,20.021
700,730,361,351,218,2634,1536,78,22753160.0,20.044
720,750,306,289,191,2825,1331,92,32369590.0,20.02
740,770,229,216,138,2963,1181,104,24924990.0,20.016
760,790,202,201,124,3087,1056,105,5523400.0,20.014
780,810,179,178,114,3201,941,106,4758900.0,20.028
800,830,173,170,101,3302,837,109,7760670.0,20.021
820,850,192,188,112,3414,721,113,9538070.0,20.025
840,870,169,160,108,3522,604,122,16481620.0,20.021
860,890,138,135,89,3611,512,125,7987780.0,20.01
880,910,109,107,69,3680,441,127,6916150.0,21.02
900,930,115,109,67,3747,368,133,13409980.0,20.007
920,950,111,106,70,3817,295,136,11329460.0,20.052
940,970,107,102,63,3880,228,140,11472100.0,20.321
960,990,95,92,63,3943,164,141,7862820.0,20.177
980,1010,84,79,46,3989,114,145,10210870.0,20.402
1000,1030,70,69,51,4040,62,146,3800160.0,20.174
1020,1050,41,41,32,4072,30,146,1631010.0,20.052
1040,1070,22,21,14,4086,15,147,2384440.0,20.061
1060,1090,15,15,13,4099,2,147,672370.0,20.008
1080,1110,2,2,2,4101,0,147,98330.0,20.004
1100,1130,0,0,0,4101,0,147,,0.0
1120,1150,0,0,0,4101,0,147,,0.0
