horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,4,0,0,3320,0,1265942,20.002
20,50,23,10,7,7,3313,0,2836009,20.014
40,70,35,13,7,14,3297,9,4644614,20.075
60,90,38,17,12,26,3279,15,4953136,20.03
80,110,44,18,12,38,3260,22,5465049,20.071
100,130,53,27,14,52,3239,29,6296389,20.05
120,150,88,53,17,69,3208,43,10220772,20.178
140,170,139,98,62,131,3137,52,15062993,20.361
160,190,133,57,42,173,3065,82,16313656,20.249
180,210,123,54,35,208,2999,113,15774686,20.071
200,230,109,46,29,237,2940,143,13519056,20.013
220,250,93,37,24,261,2891,168,11606295,20.02
240,270,130,58,24,285,2849,186,16479857,20.08
260,290,201,171,106,391,2720,209,28305846,20.017
280,310,184,160,92,483,2619,218,24319423,20.011
300,330,182,154,94,577,2512,231,23324153,20.017
320,350,159,99,61,638,2434,248,18410605,20.009
340,370,151,81,55,693,2352,275,17844298,20.222
360,390,120,57,47,740,2276,304,15237970,20.023
380,410,100,43,24,764,2231,325,12905447,20.161
400,430,103,53,36,800,2175,345,12521639,20.124
420,450,87,42,29,829,2127,364,11048925,20.131
440,470,77,33,24,853,2087,380,10065241,20.09
460,490,83,36,23,876,2050,394,10790652,20.139
480,510,106,50,25,901,2005,414,13229423,20.108
500,530,153,95,57,958,1929,433,17410541,20.32
520,550,159,91,56,1014,1852,454,19026358,20.009
540,570,167,82,55,1069,1765,486,20853179,20.008
560,590,153,67,42,1111,1687,522,19118387,20.163
580,610,169,136,85,1196,1574,550,23844835,20.011
600,630,165,152,77,1273,1491,556,21455444,20.008
620,650,212,182,119,1392,1359,569,26605337,20.015
640,670,234,177,92,1484,1253,583,28670678,20.018
660,690,311,201,92,1576,1127,617,38407579,20.016
680,710,408,242,142,1718,919,683,49062417,20.023
700,730,419,228,121,1839,724,757,51480190,20.027
720,750,392,206,136,1975,500,845,50476241,20.024
740,770,296,184,104,2079,317,924,38435616,20.019
760,790,236,190,114,2193,171,956,28721372,20.023
780,810,171,146,106,2299,46,975,21241012,20.011
800,816,46,10,10,2309,28,983,6828857,20.033
