vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1119,54.73,571,1793.34,1684.64,108.7,482,33,33
1,2,2,1096,52.641,537,1706.23,1646.38,59.85,495,32,32
2,3,3,1076,49.504,531,1685.67,1632.89,52.78,481,32,32
3,4,4,1060,16.18,560,1778.08,1644.22,133.86,440,30,30
4,5,5,1094,38.227,551,1749.52,1633.36,116.16,485,29,29
5,6,6,1121,26.74,536,1632.26,1474.64,157.62,521,32,32
6,7,7,1103,79.634,543,1646.03,1510.07,135.96,490,35,35
7,8,8,1118,85.326,543,1681.84,1573.18,108.66,511,32,32
8,9,9,1092,60.764,536,1593.17,1396.31,196.86,494,31,31
9,10,10,1066,32.69,544,1706.41,1572.55,133.86,458,32,32
10,1,1,1135,52.674,515,1656.4,1590.92,65.48,562,29,29
11,2,2,1088,58.558,530,1660.79,1599.1,61.69,494,32,32
12,3,3,1079,40.964,470,1439.11,1346.17,92.94,553,28,28
13,4,4,1091,32.595,526,1557.97,1458.88,99.09,495,35,35
14,5,5,1116,38.594,587,1798.33,1564.25,234.08,459,35,35
15,6,6,1109,80.634,522,1556.47,1387.37,169.1,525,31,31
16,7,7,969,24.241,445,1329.92,1209.71,120.21,470,27,27
17,8,8,978,38.706,425,1270.23,1160.55,109.68,499,27,27
18,9,9,1069,16.152,505,1547.57,1463.17,84.4,494,35,35
19,10,10,1104,53.979,553,1662.97,1483.15,179.82,487,32,32
20,1,1,982,44.56,510,1462.24,1246.88,215.36,410,31,31
21,2,2,982,50.718,464,1353.5,1194.53,158.97,460,29,29
22,3,3,1107,51.429,527,1534.55,1298.14,236.41,520,30,30
23,4,4,1122,41.996,494,1483.09,1442.84,40.25,566,31,31
24,5,5,986,51.024,444,1327.72,1212.68,115.04,484,29,29
25,6,6,992,20.235,430,1295.12,1148.58,146.54,510,26,26
26,7,7,997,72.944,466,1390.54,1220.98,169.56,475,28,28
27,8,8,996,63.075,414,1091.98,931.63,160.35,530,26,26
28,9,9,1026,78.612,443,1181.13,1001.31,179.82,521,31,31
29,10,10,1119,43.261,475,1398.75,1229.97,168.78,582,31,31
30,1,1,1030,65.404,486,1392.16,1175.3,216.86,484,30,30
31,2,2,1009,22.791,447,1256.21,1096.67,159.54,498,32,32
32,3,3,952,47.894,350,967.59,791.46,176.13,552,25,25
33,4,4,1075,47.303,503,1448.39,1322.66,125.73,510,31,31
34,5,5,1101,32.861,482,1287.27,1119.18,168.09,559,30,30
35,6,6,1111,131.844,468,1280.93,1090.01,190.92,579,32,32
36,7,7,1003,72.944,422,1220.02,1028.71,191.31,529,26,26
37,8,8,1021,84.752,359,975.33,852.63,122.7,616,23,23
38,9,9,990,113.064,357,1058.27,904.33,153.94,587,23,23
39,10,10,1023,30.278,472,1328.6,1069.01,259.59,493,29,29
40,1,1,1102,17.277,532,1458.53,1216.22,242.31,504,33,33
41,2,2,983,60.574,344,991.1,812.74,178.36,597,21,21
42,3,3,941,40.964,404,1089.18,946.61,142.57,483,27,27
43,4,4,1018,38.109,470,1232.3,1071.31,160.99,476,36,36
44,5,5,1072,55.911,438,1170.91,983.08,187.83,576,29,29
45,6,6,947,18.954,429,1179.9,962.33,217.57,458,30,30
46,7,7,1108,104.244,405,1085.07,869.93,215.14,649,27,27
47,8,8,1113,86.134,489,1349.55,1108.41,241.14,562,31,31
48,9,9,997,100.168,425,1185.08,997.85,187.23,514,29,29
49,10,10,1131,56.232,447,1110.59,896.15,214.44,620,32,32
50,1,1,1078,44.125,494,1373.32,1129.99,243.33,524,30,30
51,2,2,1076,44.481,458,1284.3,1006.01,278.29,556,31,31
52,3,3,945,40.964,359,931.25,702.49,228.76,540,23,23
53,4,4,946,38.274,360,976.22,821.84,154.38,536,25,25
54,5,5,1103,28.996,467,1156.03,857.16,298.87,576,30,30
55,6,6,953,18.954,340,881.65,637.14,244.51,573,20,20
56,7,7,1111,44.712,446,1171.58,937.63,233.95,605,30,30
57,8,8,1112,114.094,383,1025.46,818.16,207.3,679,25,25
58,9,9,1091,30.999,455,1195.54,942.0,253.54,576,30,30
59,10,10,954,23.854,411,1104.94,880.51,224.43,479,32,32
60,1,1,1084,58.139,458,1276.41,1077.6,198.81,564,31,31
61,2,2,1089,83.449,424,1102.88,937.57,165.31,601,32,32
62,3,3,1039,59.295,420,1122.59,917.97,204.62,561,29,29
63,4,4,1017,35.354,507,1376.79,1105.68,271.11,446,32,32
64,5,5,1020,20.25,442,1176.74,938.16,238.58,520,29,29
65,6,6,970,25.515,459,1143.49,876.8,266.69,445,33,33
66,7,7,1096,44.66,432,1135.22,928.21,207.01,606,29,29
67,8,8,1095,39.323,424,1181.35,970.07,211.28,619,26,26
68,9,9,1103,18.694,488,1296.36,991.72,304.64,551,32,32
69,10,10,1044,33.094,462,1214.52,1015.4,199.12,518,32,32
70,1,1,1002,91.356,423,1088.33,889.83,198.5,523,28,28
