num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
131,1541998900,3175,1073,4248,277.462,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_131,False
132,1503816400,3203,1045,4248,278.411,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_132,False
133,1501376400,3204,1044,4248,278.439,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_133,False
134,1489872400,3214,1034,4248,278.454,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_134,False
135,1479048600,3217,1031,4248,277.862,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_135,False
136,1451319300,3237,1011,4248,277.75,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_136,False
137,1454157300,3237,1011,4248,277.567,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_137,False
138,1491361800,3210,1038,4248,278.022,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_138,False
139,1472843000,3224,1024,4248,277.825,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_139,False
140,1449525900,3237,1011,4248,278.324,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_140,False
141,1435760800,3250,998,4248,278.275,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_141,False
142,1447294700,3240,1008,4248,278.21,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_142,False
143,1436916900,3248,1000,4248,277.844,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_143,False
144,1400648100,3272,976,4248,278.162,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_144,False
145,1419821200,3258,990,4248,277.828,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_145,False
146,1390970800,3279,969,4248,277.954,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_146,False
147,1906130300,2935,1313,4248,277.976,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_147,False
148,1926202700,2921,1327,4248,279.276,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_148,False
149,1818528100,2992,1256,4248,278.271,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_149,False
150,1827984100,2989,1259,4248,277.865,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_150,False
151,1825881200,2987,1261,4248,278.848,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_151,False
152,1852310400,2972,1276,4248,278.304,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_152,False
153,1778446600,3017,1231,4248,278.899,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_153,False
154,1724418900,3054,1194,4248,278.616,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_154,False
155,1828815000,2987,1261,4248,278.435,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_155,False
156,1803158500,3001,1247,4248,278.648,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_156,False
157,1806434200,3001,1247,4248,278.98,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_157,False
158,1766889400,3029,1219,4248,278.245,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_158,False
159,1768936000,3028,1220,4248,278.056,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_159,False
160,1844262600,2974,1274,4248,278.491,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_160,False
161,1802588700,3001,1247,4248,279.297,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_161,False
162,1799061700,3003,1245,4248,278.084,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_162,False
163,1781177600,3018,1230,4248,278.494,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_163,False
164,1833155100,2985,1263,4248,277.92,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_164,False
165,1291665500,3343,905,4248,277.522,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_165,False
166,1285129500,3348,900,4248,277.553,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_166,False
167,1291057100,3344,904,4248,277.725,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_167,False
168,1254273600,3369,879,4248,277.417,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_168,True
169,1261490500,3363,885,4248,277.775,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_169,False
170,1285796000,3347,901,4248,277.869,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_170,False
