num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory
50,3321157900,1990,2258,4248,1103.444,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_50
55,3019003300,2185,2063,4248,1104.094,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_55
60,2731040300,2374,1874,4248,1105.007,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_60
65,2468712500,2550,1698,4248,1104.272,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_65
70,2215433700,2718,1530,4248,1104.772,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_70
75,1916332400,2923,1325,4248,1104.866,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_75
80,1715163500,3058,1190,4248,1105.424,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_80
85,1563204600,3164,1084,4248,1103.917,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_85
90,1409813700,3268,980,4248,1105.062,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_90
95,1276959400,3364,884,4248,1104.767,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_95
100,1146342500,3451,797,4248,1106.818,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_100
105,1051427700,3516,732,4248,1105.543,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending\vehicles_105
