batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B2279,,8,1,6,695,17:15,701,17:21,73,14,59,3,288535,,,,,,Overdue
B2324,,2,5,6,696,17:16,702,17:22,69,10,59,3,290479,,,,,,Overdue
B2264,,3,9,6,697,17:17,703,17:23,108,17,91,4,283570,,,,,,Overdue
B2265,,3,10,10,697,17:17,707,17:27,93,17,76,4,289473,,,,,,Overdue
B2360,,7,4,5,698,17:18,703,17:23,76,9,67,3,285065,,,,,,Overdue
B2335,,2,5,6,698,17:18,704,17:24,69,11,58,3,291039,,,,,,Overdue
B2280,,9,4,7,698,17:18,705,17:25,99,17,82,3,280527,,,,,,Overdue
B2295,,1,10,7,698,17:18,705,17:25,55,15,40,3,302425,,,,,,Overdue
B2374,,7,1,5,699,17:19,704,17:24,68,9,59,3,289037,,,,,,Overdue
B2375,,7,4,5,699,17:19,704,17:24,76,9,67,3,285065,,,,,,Overdue
B2269,,8,6,6,699,17:19,705,17:25,101,19,82,4,283808,,,,,,Overdue
B2290,,9,3,6,699,17:19,705,17:25,78,17,61,3,276331,,,,,,Overdue
B2286,,3,10,10,699,17:19,709,17:29,93,17,76,3,281167,,,,,,Overdue
B2300,,4,9,6,700,17:20,706,17:26,102,17,85,3,279823,,,,,,Overdue
B2302,,9,4,7,700,17:20,707,17:27,99,17,82,3,280527,,,,,,Overdue
B2298,,3,10,10,700,17:20,710,17:30,93,17,76,3,281167,,,,,,Overdue
B2404,,7,4,5,701,17:21,706,17:26,76,9,67,3,285065,,,,,,Overdue
B2344,,2,6,8,701,17:21,709,17:29,85,13,72,3,282008,,,,,,Overdue
B2306,,3,10,10,701,17:21,711,17:31,93,17,76,3,281167,,,,,,Overdue
B2385,,2,5,6,702,17:22,708,17:28,69,11,58,3,291039,,,,,,Overdue
B2399,,3,5,7,702,17:22,709,17:29,58,10,48,3,298065,,,,,,Overdue
B2311,,9,1,8,702,17:22,710,17:30,102,18,84,3,279855,,,,,,Overdue
B2310,,6,8,5,703,17:23,708,17:28,97,19,78,3,274269,,,,,,Overdue
B2376,,7,6,6,704,17:24,710,17:30,86,14,72,3,279350,,,,,,Overdue
B2400,,3,6,6,704,17:24,710,17:30,72,12,60,3,286874,,,,,,Overdue
B2303,,9,10,7,704,17:24,711,17:31,107,21,86,3,261828,,,,,,Overdue
B2427,,3,5,7,704,17:24,711,17:31,58,10,48,3,298065,,,,,,Overdue
B2414,,3,6,6,705,17:25,711,17:31,72,12,60,3,286874,,,,,,Overdue
B2420,,7,5,6,705,17:25,711,17:31,56,12,44,3,299489,,,,,,Overdue
B2340,,9,5,6,706,17:26,712,17:32,98,19,79,3,278079,,,,,,Overdue
B2405,,7,6,6,706,17:26,712,17:32,86,14,72,3,279350,,,,,,Overdue
B2406,,8,1,6,706,17:26,712,17:32,73,14,59,3,288535,,,,,,Overdue
B2320,,9,10,7,706,17:26,713,17:33,107,21,86,3,261828,,,,,,Overdue
B2383,,1,10,7,706,17:26,713,17:33,55,15,40,3,302425,,,,,,Overdue
B2361,,10,3,9,706,17:26,715,17:35,101,17,84,3,279973,,,,,,Overdue
B2350,,8,6,6,707,17:27,713,17:33,101,19,82,3,276268,,,,,,Overdue
B2368,,3,9,6,707,17:27,713,17:33,108,17,91,3,276652,,,,,,Overdue
B2470,,1,2,5,708,17:28,713,17:33,57,9,48,3,298328,,,,,,Overdue
B2341,,9,10,7,708,17:28,715,17:35,107,21,86,3,261828,,,,,,Overdue
B2410,,1,10,7,708,17:28,715,17:35,55,15,40,3,302425,,,,,,Overdue
B2392,,9,1,8,709,17:29,717,17:37,102,18,84,3,279855,,,,,,Overdue
B2403,,4,9,6,710,17:30,716,17:36,102,18,84,3,280091,,,,,,Overdue
B2484,,3,5,7,710,17:30,717,17:37,58,10,48,3,298065,,,,,,Overdue
B2409,,1,9,7,711,17:31,718,17:38,104,18,86,3,279444,,,,,,Overdue
B2421,,9,1,8,711,17:31,719,17:39,102,18,84,3,279855,,,,,,Overdue
B2418,,5,9,6,712,17:32,718,17:38,103,19,84,3,279855,,,,,,Overdue
B2438,,4,9,6,712,17:32,718,17:38,102,17,85,3,279823,,,,,,Overdue
B2431,,8,6,6,713,17:33,719,17:39,101,19,82,3,276268,,,,,,Overdue
B2460,,4,9,6,714,17:34,720,17:40,102,17,85,4,287314,,,,,,Overdue
B2473,,1,10,7,714,17:34,721,17:41,55,15,40,4,318100,,,,,,Overdue
B2469,,4,9,6,716,17:36,722,17:42,102,18,84,4,287671,,,,,,Overdue
B2508,,6,7,6,716,17:36,722,17:42,90,14,76,3,278533,,,,,,Overdue
B2491,,1,10,7,716,17:36,723,17:43,55,15,40,3,302425,,,,,,Overdue
B2516,,2,6,8,716,17:36,724,17:44,85,13,72,3,282008,,,,,,Overdue
B2521,,4,10,6,717,17:37,723,17:43,75,14,61,3,288790,,,,,,Overdue
B2532,,8,4,5,718,17:38,723,17:43,95,14,81,3,279688,,,,,,Overdue
B2498,,4,9,6,718,17:38,724,17:44,102,17,85,3,279823,,,,,,Overdue
B2530,,6,7,6,718,17:38,724,17:44,90,14,76,3,278533,,,,,,Overdue
B2494,,3,10,10,718,17:38,728,17:48,93,17,76,3,281167,,,,,,Overdue
B2490,,9,5,6,719,17:39,725,17:45,98,19,79,4,285956,,,,,,Overdue
B2505,,3,10,10,719,17:39,729,17:49,93,17,76,3,281167,,,,,,Overdue
B2506,,4,9,6,720,17:40,726,17:46,102,18,84,3,280091,,,,,,Overdue
B2538,,6,7,6,720,17:40,726,17:46,90,15,75,3,278860,,,,,,Overdue
B2549,,6,7,6,720,17:40,726,17:46,90,14,76,3,278533,,,,,,Overdue
B2524,,1,10,7,720,17:40,727,17:47,55,16,39,3,303630,,,,,,Overdue
B2518,,3,10,10,720,17:40,730,17:50,93,17,76,3,281167,,,,,,Overdue
B2572,,6,7,6,722,17:42,728,17:48,90,14,76,3,278533,,,,,,Overdue
B2531,,7,10,8,722,17:42,730,17:50,81,18,63,3,277333,,,,,,Overdue
B2557,,3,10,10,724,17:44,734,17:54,93,17,76,3,281167,,,,,,Overdue
B2573,,9,3,6,725,17:45,731,17:51,78,17,61,3,276331,,,,,,Overdue
B2562,,7,10,8,725,17:45,733,17:53,81,18,63,3,277333,,,,,,Overdue
B2586,,9,3,6,726,17:46,732,17:52,78,17,61,3,276331,,,,,,Overdue
B2612,,6,7,6,726,17:46,732,17:52,90,15,75,3,278860,,,,,,Overdue
B2624,,6,7,6,726,17:46,732,17:52,90,14,76,3,278533,,,,,,Overdue
