num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory
50,2103753500,2804,1444,4248,1103.73,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_50
55,1888715500,2947,1301,4248,1104.272,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_55
60,1593956900,3146,1102,4248,1103.614,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_60
65,1367937200,3309,939,4248,1104.125,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_65
70,1186369000,3425,823,4248,1104.486,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_70
75,1035317800,3530,718,4248,1103.778,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_75
80,895540600,3622,626,4248,1104.428,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_80
85,833845000,3665,583,4248,1105.28,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_85
90,709280100,3754,494,4248,1104.773,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_Pending_Depot\vehicles_90
