horizon_start,horizon_end,request_id,batch_id,planned_visit,drop_penalty
0,30,R1,B1,True,1661800
0,30,R2,B2,True,1462400
0,30,R3,B3,True,1798500
0,30,R4,B4,True,1523900
0,30,R5,B5,True,1661800
0,30,R6,B6,True,1661800
0,30,R7,B7,True,1523900
0,30,R8,B8,True,1661800
20,50,R1,B1,True,1671800
20,50,R2,B2,True,1472400
20,50,R3,B3,True,1808500
20,50,R4,B4,True,1533900
20,50,R5,B5,True,1671800
20,50,R6,B6,True,1671800
20,50,R7,B7,False,1533900
20,50,R8,B8,True,1671800
20,50,R9,B9,True,1886900
20,50,R10,B10,True,1632300
20,50,R11,B11,True,1523900
20,50,R12,B12,True,1462400
20,50,R13,B13,True,1662800
20,50,R14,B14,True,1661800
20,50,R15,B15,True,1462400
20,50,R16,B16,True,1798500
20,50,R17,B17,True,1632300
20,50,R18,B18,True,1661800
20,50,R19,B19,True,2072400
20,50,R20,B20,True,1661800
20,50,R21,B21,True,1523900
20,50,R22,B22,True,1906100
20,50,R23,B23,True,2050100
20,50,R24,B24,True,1462400
20,50,R25,B25,True,1799500
20,50,R26,B26,True,2072400
20,50,R27,B27,True,1661800
20,50,R28,B28,True,1662800
20,50,R29,B29,True,2196000
40,70,R7,B7,False,1543900
40,70,R21,B21,True,1533900
40,70,R22,B22,True,1916100
40,70,R23,B23,True,2060100
40,70,R24,B24,True,1472400
40,70,R25,B25,True,1809500
40,70,R26,B26,True,2082400
40,70,R27,B27,True,1671800
40,70,R28,B28,True,1672800
40,70,R29,B29,True,2206000
40,70,R30,B30,True,2196000
40,70,R31,B31,True,1661800
40,70,R32,B32,True,1462400
40,70,R33,B33,True,1462400
40,70,R34,B34,True,2244100
40,70,R35,B35,True,1798500
40,70,R36,B36,True,1462400
40,70,R37,B37,True,1462400
40,70,R38,B38,True,1632300
40,70,R39,B39,True,2072400
40,70,R40,B40,True,1544900
40,70,R41,B41,True,1661800
40,70,R42,B42,True,1798500
40,70,R43,B43,True,2072400
40,70,R44,B44,True,1462400
40,70,R45,B45,True,1523900
40,70,R46,B46,True,2072400
40,70,R47,B47,True,1661800
40,70,R48,B48,True,1462400
60,90,R39,B39,True,2082400
60,90,R40,B40,True,1554900
60,90,R41,B41,True,1671800
60,90,R42,B42,True,1808500
60,90,R43,B43,True,2082400
60,90,R44,B44,True,1472400
60,90,R45,B45,True,1533900
60,90,R46,B46,True,2082400
60,90,R47,B47,True,1671800
60,90,R48,B48,True,1472400
60,90,R49,B49,True,1632300
60,90,R50,B50,True,1462400
60,90,R51,B51,True,1765900
60,90,R52,B52,True,1661800
60,90,R53,B53,True,1661800
60,90,R54,B54,True,1462400
60,90,R55,B55,True,2072400
60,90,R56,B56,True,1661800
60,90,R57,B57,True,2072400
60,90,R58,B58,True,1142600
60,90,R59,B59,True,1471700
60,90,R60,B60,True,1520500
60,90,R61,B61,True,1142600
60,90,R62,B62,True,1631300
60,90,R63,B63,True,1488500
60,90,R64,B64,True,1142600
60,90,R65,B65,True,2254100
60,90,R66,B66,True,1142600
80,110,R58,B58,False,1152600
80,110,R59,B59,True,1481700
80,110,R60,B60,True,1530500
80,110,R61,B61,False,1152600
80,110,R62,B62,True,1641300
80,110,R63,B63,True,1498500
80,110,R64,B64,False,1152600
80,110,R65,B65,True,2264100
80,110,R66,B66,False,1152600
80,110,R67,B67,True,1408200
80,110,R68,B68,True,1520500
80,110,R69,B69,True,1142600
80,110,R70,B70,True,1698600
80,110,R71,B71,True,2254100
80,110,R72,B72,True,1489100
80,110,R73,B73,True,1142600
80,110,R74,B74,True,2242100
80,110,R75,B75,True,2254100
80,110,R76,B76,True,2505300
80,110,R77,B77,True,1454100
80,110,R78,B78,True,1453100
80,110,R79,B79,True,1454100
80,110,R80,B80,True,1631300
80,110,R81,B81,True,1142600
80,110,R82,B82,True,1170100
80,110,R83,B83,True,1471700
80,110,R84,B84,True,2242100
80,110,R85,B85,True,2254100
80,110,R86,B86,True,1170100
80,110,R87,B87,True,1631300
80,110,R88,B88,True,1632200
100,130,R64,B64,False,1162600
100,130,R66,B66,False,1162600
100,130,R78,B78,True,1463100
100,130,R79,B79,True,1464100
100,130,R80,B80,False,1641300
100,130,R81,B81,False,1152600
100,130,R82,B82,True,1180100
100,130,R83,B83,True,1481700
100,130,R84,B84,True,2252100
