vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1106,43.883,576,1535.39,1378.98,156.41,438,46,46
1,2,2,1078,17.588,595,1557.76,1414.55,143.21,397,43,43
2,3,3,1101,59.926,593,1624.94,1474.73,150.21,416,46,46
3,4,4,1076,79.424,561,1574.83,1354.0,220.83,443,36,36
4,5,5,1113,89.684,592,1517.14,1345.12,172.02,435,43,43
5,6,6,1107,27.48,623,1621.24,1416.61,204.63,394,45,45
6,7,7,1106,60.552,600,1676.49,1530.71,145.78,414,46,46
7,8,8,1080,85.822,574,1531.76,1311.45,220.31,416,45,45
8,9,9,1113,16.123,612,1645.79,1486.26,159.53,409,46,46
9,10,10,1121,46.305,607,1625.17,1399.27,225.9,412,51,51
10,1,1,1080,77.982,574,1514.15,1281.04,233.11,426,40,40
11,2,2,1118,49.94,607,1667.26,1440.58,226.68,415,48,48
