vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1106,114.828,564,1564.59,1302.98,261.61,464,39,39
1,2,2,1088,31.841,585,1677.45,1358.14,319.31,425,39,39
2,3,3,1112,66.468,573,1563.66,1420.22,143.44,453,43,43
3,4,4,1079,28.516,558,1538.78,1396.26,142.52,441,40,40
4,5,5,1107,101.821,566,1615.64,1566.33,49.31,453,44,44
5,6,6,1101,29.303,592,1583.71,1415.88,167.83,419,45,45
6,7,7,1105,27.817,590,1604.18,1393.85,210.33,429,43,43
7,8,8,1114,67.508,597,1633.66,1456.46,177.2,427,45,45
8,9,9,1079,39.576,585,1606.48,1392.84,213.64,412,41,41
9,10,10,1129,33.847,629,1751.88,1434.33,317.55,410,45,45
10,1,1,1114,78.168,569,1557.21,1352.7,204.51,455,45,45
11,2,2,1086,63.538,565,1567.16,1334.83,232.33,447,37,37
12,3,3,1098,104.344,574,1565.37,1437.57,127.8,432,46,46
13,4,4,1091,61.632,529,1461.12,1331.16,129.96,488,37,37
