origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0.0,,68.68,24.27,,,,,,
수서,,0.0,27.22,,,,,,,
삼성,61.25,21.95,0.0,,,,,,,
여의도,21.7,,,0.0,,,,,,
김포공항,,,,,0.0,,,,,
일산,,,,,,0.0,,,,
판교,,,,,,,0.0,,,
동탄/용인,,,,,,,,0.0,,
평택,,,,,,,,,0.0,
인천공항,,,,,,,,,,0.0
