origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0,1750,1700,1500,1750,4200,3200,3600,2750,4600
수서,1750,0,3200,1850,2050,4200,3200,4450,10900,4800
삼성,1600,3200,0,1750,1950,4500,3200,5800,4100,3750
여의도,1500,1950,1750,0,1650,4300,3750,6650,2650,2550
김포공항,3900,2050,1950,1650,0,3400,3600,5150,2850,4200
일산,4200,4600,4500,5850,3400,0,5950,9000,5500,3700
판교,3200,3200,3200,3300,3600,6400,0,3200,3600,11000
동탄/용인,3600,4450,4550,3700,10700,6350,3200,0,10700,15900
평택,2850,3800,12550,2750,5550,7300,3600,9150,0,17750
인천공항,4600,4800,2750,2650,4200,3700,11000,13100,22500,0
