origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0.0,18.592,14.989,7.59,24.751,28.059,25.385,47.639,66.894,59.698
수서,19.029,0.0,6.988,21.128,34.812,45.95,10.895,37.814,57.187,86.093
삼성,16.001,6.27,0.0,15.436,28.96,43.712,18.327,42.636,61.778,75.351
여의도,6.281,22.587,20.945,0.0,14.632,27.091,29.864,52.118,78.502,55.19
김포공항,27.698,39.765,36.162,14.021,0.0,18.548,41.984,70.72,87.736,42.732
일산,29.282,46.395,44.753,25.96,18.962,0.0,54.644,76.898,101.171,59.808
판교,25.241,11.553,17.333,25.042,39.269,58.301,0.0,24.365,56.718,72.927
동탄/용인,48.772,38.45,44.23,50.622,61.165,76.485,27.9,0.0,20.794,81.862
평택,67.904,57.582,63.362,68.532,86.229,102.621,43.754,20.547,0.0,104.204
인천공항,59.682,77.173,71.646,56.36,43.989,52.467,73.212,89.415,98.111,0.0
