origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0.0,56.88,61.25,29.83,37.35,25.98,66.48,92.4,103.92,54.4
수서,52.72,0.0,33.55,54.95,68.47,84.7,38.15,34.52,59.48,103.73
삼성,52.92,36.68,0.0,43.27,57.83,71.47,50.88,51.67,107.72,92.05
여의도,25.03,77.05,55.22,0.0,39.87,46.6,57.48,75.78,101.68,74.4
김포공항,30.47,65.83,61.3,33.28,0.0,28.55,55.72,82.0,102.85,44.15
일산,26.83,79.8,84.17,57.72,32.38,0.0,89.4,96.25,127.65,68.58
판교,67.37,40.93,50.25,75.47,55.52,85.7,0.0,39.23,88.53,80.73
동탄/용인,72.92,36.4,53.75,94.23,77.72,100.23,34.18,0.0,33.25,85.83
평택,101.88,105.9,77.27,98.68,97.82,124.77,85.68,36.6,0.0,107.0
인천공항,51.32,104.85,100.6,65.53,44.03,65.83,80.73,95.5,105.12,0.0
