origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0.0,69.37,66.4,22.77,72.18,65.87,69.65,106.03,132.33,88.12
수서,63.93,0.0,27.15,86.7,128.33,125.72,30.43,73.23,106.0,120.2
삼성,56.03,20.47,0.0,77.03,122.53,123.45,52.02,86.85,122.17,145.43
여의도,22.47,84.92,81.78,0.0,44.97,56.58,67.85,104.37,117.58,74.05
김포공항,67.28,108.45,102.42,47.93,0.0,30.05,100.53,119.27,118.22,36.18
일산,59.05,102.03,97.82,36.62,27.65,0.0,98.9,132.82,132.67,51.3
판교,71.83,41.75,62.82,88.72,125.53,127.82,0.0,58.28,83.23,108.83
동탄/용인,86.73,51.45,70.55,106.57,126.05,134.22,41.02,0.0,50.95,129.53
평택,128.92,102.72,116.65,140.45,155.12,155.15,86.4,64.5,0.0,146.25
인천공항,73.53,98.68,106.45,53.72,36.13,47.82,83.55,109.57,100.53,0.0
