revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
90000,50,321446695,485750529,1653,1682,3335,826.217
90000,55,299872103,472639264,1752,1583,3335,825.478
90000,60,275364292,461470057,1879,1456,3335,824.175
90000,65,255545537,455205312,1982,1353,3335,826.007
90000,70,241300153,446431097,2058,1277,3335,826.28
90000,75,216202981,434377158,2188,1147,3335,824.625
90000,80,206680505,429507648,2236,1099,3335,824.877
90000,85,194771592,424760410,2295,1040,3335,824.765
90000,90,178806418,418080599,2382,953,3335,824.875
90000,95,163493849,413823162,2461,874,3335,824.95
90000,100,153629213,408562483,2513,822,3335,825.563
90000,105,143665749,404728753,2568,767,3335,826.571
90000,110,132913738,402526091,2625,710,3335,826.021
90000,115,126956604,400779115,2658,677,3335,825.958
90000,120,120525804,396755173,2687,648,3335,828.759
90000,125,112985553,392564071,2729,606,3335,826.691
90000,130,109447455,389890464,2746,589,3335,826.133
90000,135,105896036,392065500,2766,569,3335,826.377
90000,140,96239673,385265913,2817,518,3335,826.436
90000,145,95578528,384096361,2819,516,3335,827.108
90000,150,95694057,384533331,2818,517,3335,826.232
