revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
170000,50,558553685,753962164,1808,1527,3335,826.491
170000,55,507153462,720302965,1947,1388,3335,826.643
170000,60,456103676,683891621,2077,1258,3335,826.046
170000,65,415998736,656679200,2188,1147,3335,825.308
170000,70,377328344,629329467,2290,1045,3335,824.988
170000,75,344880728,608529393,2383,952,3335,826.19
170000,80,303283478,577426582,2497,838,3335,825.144
170000,85,270397880,553178520,2589,746,3335,824.208
170000,90,240859795,531757363,2665,670,3335,825.415
170000,95,215645364,516684564,2733,602,3335,825.741
170000,100,199257938,505697968,2777,558,3335,826.469
170000,105,177933997,488925142,2840,495,3335,826.194
170000,110,153099728,470832533,2908,427,3335,825.944
170000,115,147918006,471173008,2924,411,3335,826.341
170000,120,128632216,452986777,2977,358,3335,828.619
170000,125,121194170,449618767,2997,338,3335,826.493
170000,130,106067652,435273644,3039,296,3335,826.861
170000,135,102971911,433226990,3048,287,3335,826.915
170000,140,92668934,425270363,3077,258,3335,826.303
170000,145,86226700,421407733,3093,242,3335,827.275
170000,150,78120266,414941333,3118,217,3335,826.506
