horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3320,0,1489876,20.02
20,50,23,23,16,16,3304,0,3391399,20.117
40,70,26,26,14,30,3290,0,3803046,20.119
60,90,31,31,18,48,3272,0,4329857,20.006
80,110,37,37,22,70,3250,0,5423213,20.003
100,130,43,43,26,96,3224,0,5654448,20.087
120,150,73,72,22,118,3201,1,9589912,20.242
140,170,132,130,86,204,3113,3,15473400,20.192
160,190,109,105,75,279,3036,5,14476123,20.407
180,210,94,91,66,345,2967,8,13139175,20.255
200,230,77,75,46,391,2920,9,9731653,20.228
220,250,73,71,43,434,2875,11,9623956,20.357
240,270,114,111,46,480,2829,11,16706927,20.547
260,290,181,174,110,590,2714,16,26164012,20.009
280,310,178,172,104,694,2607,19,24710490,20.011
300,330,170,163,106,800,2497,23,23249942,20.01
320,350,144,139,88,888,2406,26,19171933,20.397
340,370,123,119,82,970,2322,28,16108299,20.118
360,390,90,88,65,1035,2255,30,12280483,20.307
380,410,79,79,46,1081,2209,30,10926596,20.009
400,430,81,81,53,1134,2156,30,10491249,20.008
420,450,68,68,48,1182,2108,30,9368751,20.172
440,470,58,58,35,1217,2073,30,8107389,20.063
460,490,69,69,40,1257,2033,30,9862587,20.005
480,510,89,89,49,1306,1984,30,12478794,20.355
500,530,132,131,77,1383,1906,31,15906616,20.077
520,550,136,136,90,1473,1816,31,16244622,20.023
540,570,131,131,81,1554,1735,31,15593167,20.775
560,590,123,122,80,1634,1654,32,16035245,20.038
580,610,136,134,83,1717,1570,33,17899088,20.244
600,630,161,156,80,1797,1489,34,20851332,20.01
620,650,210,202,136,1933,1348,39,28851242,20.011
640,670,223,217,116,2049,1226,45,28826438,20.013
660,690,284,266,141,2190,1081,49,39463846,20.025
680,710,362,302,168,2358,893,69,57726758,20.022
700,730,393,298,179,2537,676,107,70492900,20.038
720,750,344,253,169,2706,467,147,66399231,20.022
740,770,263,202,124,2830,299,191,48696044,20.018
760,790,218,198,124,2954,158,208,30784204,20.019
780,810,158,149,109,3063,43,214,21499688,20.015
800,816,43,36,36,3099,3,218,9685211,20.113
