horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,8,0,0,3320,0,1315869,20.048
20,50,23,17,11,11,3309,0,3171903,20.11
40,70,31,19,8,19,3299,2,4401749,20.119
60,90,40,27,16,35,3278,7,5770498,20.023
80,110,43,35,20,55,3252,13,5771674,20.007
100,130,45,36,21,76,3229,15,5427949,20.192
120,150,78,68,21,97,3205,18,8789562,20.372
140,170,136,121,72,169,3131,20,14146594,21.054
160,190,127,101,66,235,3056,29,15129214,20.56
180,210,114,88,63,298,2979,43,14173855,20.59
200,230,89,73,47,345,2926,49,10252672,20.04
220,250,79,66,38,383,2881,56,9762394,20.054
240,270,120,105,47,430,2832,58,14752921,20.011
260,290,184,180,115,545,2714,61,22569049,20.016
280,310,178,174,102,647,2610,63,21303384,20.017
300,330,173,169,106,753,2502,65,19797690,20.013
320,350,149,144,88,841,2412,67,17349023,20.01
340,370,129,109,72,913,2336,71,14735433,20.789
360,390,104,80,60,973,2266,81,12839153,20.247
380,410,90,68,40,1013,2218,89,11487271,20.37
400,430,90,73,43,1056,2170,94,11165831,20.049
420,450,82,66,46,1102,2114,104,10579159,20.356
440,470,64,50,28,1130,2082,108,8281353,20.14
460,490,78,61,36,1166,2037,117,10513284,20.313
480,510,93,80,45,1211,1989,120,10838958,20.211
500,530,137,127,73,1284,1913,123,14174188,20.008
520,550,143,123,81,1365,1827,128,15573019,20.014
540,570,142,120,71,1436,1747,137,16092976,20.014
560,590,135,118,78,1514,1664,142,14702552,20.014
580,610,146,140,83,1597,1577,146,17105433,20.008
600,630,168,165,87,1684,1488,148,18926396,20.01
620,650,209,208,130,1814,1357,149,25261733,20.019
640,670,232,227,117,1931,1237,152,27666474,20.021
660,690,295,285,151,2082,1081,157,35276994,20.024
680,710,362,305,153,2235,918,167,44623438,20.025
700,730,418,305,173,2408,694,218,53708409,20.041
720,750,362,273,176,2584,473,263,47136174,20.025
740,770,269,214,131,2715,315,290,33217212,20.019
760,790,234,204,122,2837,165,318,27184505,20.027
780,810,165,156,116,2953,43,324,18968248,20.017
800,816,43,13,13,2966,28,326,7507617,20.069
