vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1109,26.33,625,1634.71,1364.13,270.58,396,44,44
1,2,2,1102,46.866,565,1638.27,1483.07,155.2,451,43,43
2,3,3,1130,46.531,594,1642.31,1418.45,223.86,450,43,43
3,4,4,1080,44.562,552,1523.41,1378.85,144.56,444,42,42
4,5,5,1093,51.024,598,1624.34,1443.51,180.83,403,46,46
5,6,6,1110,65.397,593,1632.73,1461.9,170.83,423,47,47
6,7,7,1124,58.897,604,1635.61,1485.11,150.5,422,49,49
7,8,8,1098,83.58,571,1601.6,1473.21,128.39,443,42,42
8,9,9,1117,41.316,604,1569.3,1309.21,260.09,421,46,46
9,10,10,1104,46.084,603,1575.9,1318.07,257.83,417,42,42
10,1,1,1020,43.852,565,1519.57,1274.62,244.95,381,37,37
11,2,2,1107,16.725,614,1691.62,1510.78,180.84,411,41,41
12,3,3,1031,49.182,544,1429.42,1163.56,265.86,409,39,39
13,4,4,1129,91.206,625,1699.27,1508.4,190.87,420,42,42
14,5,5,1107,114.224,576,1545.81,1428.87,116.94,437,47,47
15,6,6,1117,33.281,592,1675.31,1508.72,166.59,447,39,39
16,7,7,1106,33.384,607,1547.04,1415.22,131.82,409,45,45
