revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
190000,50,618463049,815116505,1820,1515,3335,825.438
190000,55,561780468,774357428,1952,1383,3335,825.931
190000,60,510766926,739655893,2076,1259,3335,826.128
190000,65,459614969,700350294,2200,1135,3335,824.934
190000,70,418639779,674646597,2304,1031,3335,824.586
190000,75,380499725,643090935,2396,939,3335,826.93
190000,80,332713352,607285600,2511,824,3335,825.47
190000,85,298423989,585443227,2595,740,3335,825.802
190000,90,273797941,564510357,2655,680,3335,825.106
190000,95,246720514,548251180,2720,615,3335,824.847
190000,100,222587087,528994493,2782,553,3335,824.798
190000,105,194497060,507648496,2851,484,3335,825.073
190000,110,174406162,494801111,2901,434,3335,826.898
190000,115,164551184,485209641,2924,411,3335,825.16
190000,120,150616876,474438979,2961,374,3335,827.929
190000,125,130198925,459830228,3010,325,3335,827.225
190000,130,124154835,454081714,3026,309,3335,827.233
190000,135,110073689,443332220,3061,274,3335,827.987
190000,140,103236715,437568384,3077,258,3335,826.394
190000,145,97725300,434673732,3091,244,3335,827.451
190000,150,88172271,428192329,3115,220,3335,827.857
