vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1099,45.708,546,1687.57,1564.87,122.7,491,31,31
1,2,2,1122,39.843,585,1844.77,1774.79,69.98,469,34,34
2,3,3,1089,48.605,561,1770.41,1662.05,108.36,466,31,31
3,4,4,1123,46.002,593,1854.2,1667.71,186.49,468,31,31
4,5,5,1124,38.922,581,1833.6,1726.54,107.06,481,31,31
5,6,6,1104,26.788,586,1820.14,1666.15,153.99,452,33,33
6,7,7,1106,63.647,581,1826.25,1674.8,151.45,463,31,31
7,8,8,1128,20.222,547,1730.15,1585.34,144.81,525,28,28
8,9,9,1033,74.767,499,1517.6,1427.33,90.27,476,29,29
9,10,10,1115,66.982,580,1761.27,1686.73,74.54,459,38,38
10,1,1,1089,44.477,561,1761.66,1438.84,322.82,466,31,31
11,2,2,1102,99.421,545,1596.68,1415.24,181.44,495,31,31
12,3,3,1082,56.712,541,1634.69,1422.13,212.56,481,30,30
13,4,4,1108,46.809,577,1749.44,1486.27,263.17,469,31,31
14,5,5,1110,31.704,603,1837.69,1577.29,260.4,439,34,34
15,6,6,1096,77.612,560,1723.78,1469.86,253.92,470,33,33
16,7,7,1119,43.767,556,1689.46,1451.02,238.44,501,31,31
17,8,8,1107,41.695,551,1710.93,1438.62,272.31,494,31,31
18,9,9,1008,55.476,481,1436.81,1313.64,123.17,467,30,30
19,10,10,1104,75.969,571,1762.82,1600.83,161.99,469,32,32
20,1,1,1047,43.525,563,1723.0,1400.31,322.69,426,29,29
21,2,2,1060,87.731,509,1503.5,1367.13,136.37,491,30,30
22,3,3,1112,26.684,573,1681.53,1453.97,227.56,473,33,33
23,4,4,1112,84.653,545,1606.79,1383.69,223.1,505,31,31
24,5,5,1096,30.424,534,1580.07,1345.61,234.46,496,33,33
25,6,6,1111,65.01,508,1549.6,1252.02,297.58,547,28,28
26,7,7,1114,90.555,569,1677.6,1315.58,362.02,489,28,28
27,8,8,1010,95.024,442,1344.81,1125.48,219.33,514,27,27
28,9,9,1043,61.628,461,1357.51,1037.04,320.47,532,25,25
29,10,10,1142,48.779,612,1809.3,1474.44,334.86,460,35,35
30,1,1,1120,55.032,571,1631.45,1257.13,374.32,485,32,32
31,2,2,1036,51.789,507,1449.69,1048.48,401.21,477,26,26
32,3,3,1108,57.368,537,1576.55,1213.78,362.77,507,32,32
33,4,4,959,45.091,464,1334.94,1106.15,228.79,441,27,27
34,5,5,1115,69.593,519,1522.66,1102.1,420.56,548,24,24
35,6,6,985,36.024,466,1374.38,1055.4,318.98,467,26,26
36,7,7,1003,72.944,390,1105.99,911.15,194.84,569,22,22
37,8,8,1100,20.729,490,1359.36,1118.98,240.38,550,30,30
38,9,9,1116,54.771,537,1457.23,1198.63,258.6,515,32,32
39,10,10,1011,43.174,537,1524.56,1263.64,260.92,406,34,34
40,1,1,1027,42.544,552,1496.93,1114.5,382.43,411,32,32
41,2,2,1122,50.293,540,1578.0,1213.95,364.05,526,28,28
42,3,3,1068,45.059,497,1377.46,1012.4,365.06,515,28,28
43,4,4,1009,57.594,394,1117.15,895.1,222.05,563,26,26
