vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1090,15.246,569,1851.47,1726.15,125.32,463,29,29
1,2,2,1092,51.449,568,1802.53,1669.64,132.89,464,30,30
2,3,3,1074,50.478,537,1601.98,1536.73,65.25,475,31,31
3,4,4,1116,57.481,570,1782.26,1690.49,91.77,476,35,35
4,5,5,1109,40.942,575,1828.16,1683.44,144.72,472,31,31
5,6,6,1109,28.215,600,1840.63,1686.76,153.87,441,34,34
6,7,7,1100,51.61,575,1788.61,1659.91,128.7,459,33,33
7,8,8,1117,37.827,531,1727.78,1508.29,219.49,534,26,26
8,9,9,1144,49.549,560,1703.46,1555.0,148.46,514,35,35
9,10,10,1093,63.51,586,1734.47,1549.0,185.47,437,35,35
10,1,1,1098,23.861,569,1714.07,1587.09,126.98,463,33,33
11,2,2,1071,37.386,546,1700.93,1425.72,275.21,467,29,29
12,3,3,1135,51.17,570,1763.57,1566.94,196.63,497,34,34
13,4,4,1112,37.645,586,1707.31,1518.19,189.12,460,33,33
14,5,5,1108,59.691,585,1774.72,1632.17,142.55,457,33,33
15,6,6,1080,49.584,573,1753.12,1497.47,255.65,447,30,30
16,7,7,1129,58.378,548,1622.79,1310.86,311.93,525,28,28
17,8,8,1128,81.156,512,1523.87,1361.01,162.86,550,33,33
18,9,9,1008,60.882,485,1486.77,1327.59,159.18,469,27,27
19,10,10,1115,30.811,560,1689.36,1374.53,314.83,497,29,29
20,1,1,1043,42.318,529,1540.78,1309.54,231.24,452,31,31
21,2,2,1089,49.793,570,1693.58,1264.22,429.36,455,32,32
22,3,3,1121,58.23,584,1806.99,1460.82,346.17,471,33,33
23,4,4,1079,31.947,528,1594.08,1397.61,196.47,491,30,30
24,5,5,1032,40.326,544,1592.6,1314.19,278.41,430,29,29
25,6,6,992,26.643,514,1537.45,1223.0,314.45,422,28,28
26,7,7,1105,70.028,528,1588.21,1304.31,283.9,525,26,26
27,8,8,981,95.024,401,1132.18,970.27,161.91,526,27,27
28,9,9,1055,57.941,483,1416.57,1154.1,262.47,522,25,25
29,10,10,1113,17.161,570,1656.57,1329.18,327.39,473,35,35
30,1,1,1104,40.741,586,1724.2,1469.31,254.89,454,32,32
31,2,2,1122,50.227,574,1704.46,1253.12,451.34,490,29,29
32,3,3,1120,54.949,578,1615.25,1216.78,398.47,482,30,30
33,4,4,1110,116.114,508,1460.54,1149.11,311.43,552,25,25
34,5,5,1007,51.024,442,1318.27,1064.31,253.96,517,24,24
35,6,6,1095,68.561,538,1558.09,1180.96,377.13,497,30,30
36,7,7,1004,72.944,439,1240.48,966.21,274.27,517,24,24
37,8,8,1123,41.06,539,1542.31,1296.24,246.07,524,30,30
38,9,9,992,113.064,436,1250.27,1040.24,210.03,500,28,28
39,10,10,984,40.924,417,1215.33,1004.61,210.72,515,26,26
