vehicle_count,total_penalty,complete_count,overdue_count,total_batch_count
50,3383241100,1967,2281,4248
55,3055104200,2177,2071,4248
60,2761887700,2368,1880,4248
65,2495712000,2545,1703,4248
70,2168890100,2762,1486,4248
75,1930446100,2919,1329,4248
80,1684489100,3086,1162,4248
85,1543342600,3186,1062,4248
90,1364744200,3305,943,4248
95,1230846700,3397,851,4248
100,1121054700,3472,776,4248
105,1047345000,3524,724,4248
110,912171200,3616,632,4248
115,835899200,3670,578,4248
120,769603600,3713,535,4248
125,685557100,3772,476,4248
130,651205700,3792,456,4248
135,592122100,3836,412,4248
140,555825000,3862,386,4248
145,498113300,3899,349,4248
150,460973000,3927,321,4248
155,445082200,3938,310,4248
160,405794300,3966,282,4248
165,349396800,4004,244,4248
170,349179100,4007,241,4248
175,292323800,4047,201,4248
180,266543700,4068,180,4248
185,279591200,4058,190,4248
190,257355300,4074,174,4248
195,245491000,4081,167,4248
200,224508100,4096,152,4248
