vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1082,21.944,591,1565.11,1395.07,170.04,403,44,44
1,2,2,1112,52.103,614,1654.74,1490.68,164.06,400,49,49
2,3,3,1102,104.485,539,1481.04,1375.14,105.9,475,44,44
3,4,4,1092,78.861,562,1518.66,1270.98,247.68,448,41,41
4,5,5,1124,79.887,606,1636.85,1358.9,277.95,434,42,42
5,6,6,1033,72.254,543,1572.19,1455.37,116.82,414,38,38
6,7,7,1084,19.079,586,1581.48,1373.85,207.63,418,40,40
7,8,8,1097,15.445,599,1640.11,1369.57,270.54,412,43,43
8,9,9,1075,30.576,584,1509.2,1359.48,149.72,407,42,42
9,10,10,1109,36.425,604,1677.71,1441.63,236.08,409,48,48
10,1,1,1098,24.012,586,1610.32,1456.92,153.4,422,45,45
11,2,2,1102,45.63,554,1444.91,1273.99,170.92,464,42,42
12,3,3,1126,47.855,626,1707.85,1378.85,329.0,412,44,44
13,4,4,1099,125.674,526,1421.97,1242.21,179.76,495,39,39
14,5,5,1102,136.621,557,1543.66,1356.33,187.33,461,42,42
15,6,6,1126,27.533,605,1659.13,1466.99,192.14,431,45,45
16,7,7,1102,72.944,561,1596.53,1359.53,237.0,469,36,36
17,8,8,1118,80.044,595,1582.92,1302.67,280.25,441,41,41
18,9,9,1064,25.658,583,1583.76,1349.09,234.67,401,40,40
19,10,10,1114,82.814,551,1492.1,1299.19,192.91,475,44,44
20,1,1,1081,20.802,603,1547.21,1328.48,218.73,384,47,47
21,2,2,1107,43.659,609,1642.11,1427.64,214.47,404,47,47
22,3,3,1067,47.664,574,1583.09,1345.6,237.49,405,44,44
