num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory
50,3383241100,1967,2281,4248,1106.031,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_50
55,3055104200,2177,2071,4248,1105.51,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_55
60,2761887700,2368,1880,4248,1105.736,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_60
65,2495712000,2545,1703,4248,1105.054,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_65
70,2168890100,2762,1486,4248,1104.448,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_70
75,1930446100,2919,1329,4248,1104.963,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_75
80,1684489100,3086,1162,4248,1104.162,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_80
85,1543342600,3186,1062,4248,1104.394,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_85
90,1364744200,3305,943,4248,1106.159,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_90
95,1230846700,3397,851,4248,1104.609,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_95
100,1121054700,3472,776,4248,1104.943,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_100
105,1047345000,3524,724,4248,1106.195,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_105
110,912171200,3616,632,4248,1106.083,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_110
115,835899200,3670,578,4248,1106.877,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_115
120,769603600,3713,535,4248,1107.587,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_120
125,685557100,3772,476,4248,1107.672,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_125
130,651205700,3792,456,4248,1107.652,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_130
135,592122100,3836,412,4248,1106.563,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_135
140,555825000,3862,386,4248,1107.595,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_140
145,498113300,3899,349,4248,1107.222,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1_1\Penalty_per_vehicles\Remove_depot\vehicles_145
