num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,is_best_penalty
200,220617400,4098,150,False
205,232813100,4090,158,False
210,218838500,4101,147,False
215,220389600,4100,148,False
220,209692500,4106,142,False
225,216610900,4102,146,False
230,181642900,4125,123,True
235,194130500,4117,131,False
240,196254900,4116,132,False
245,195756700,4116,132,False
250,184828200,4123,125,False
