horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,0,0,0,3320,0,956297,20.005
20,50,23,0,0,0,3320,0,2308832,20.005
40,70,42,0,0,0,3308,12,4508131,20.006
60,90,49,2,2,2,3291,27,5299168,20.006
80,110,56,3,1,3,3272,45,6006859,20.008
100,130,65,7,4,7,3250,63,6879922,20.005
120,150,99,0,0,7,3224,89,11062100,20.01
140,170,155,0,0,7,3198,115,17949984,20.018
160,190,194,0,0,7,3110,203,24281180,20.024
180,210,168,0,0,7,3039,274,21370520,20.022
200,230,149,0,0,7,2968,345,19013957,20.017
220,250,121,0,0,7,2918,395,14430543,20.015
240,270,157,0,0,7,2878,435,17559309,20.019
260,290,230,0,0,7,2821,492,25386028,20.019
280,310,285,0,0,7,2706,607,31744321,20.017
300,330,269,0,0,7,2604,709,30965086,20.036
320,350,251,0,0,7,2497,816,28974875,20.022
340,370,214,0,0,7,2404,909,24251863,20.019
360,390,172,0,0,7,2323,990,19615875,20.012
380,410,147,0,0,7,2260,1053,16423244,20.02
400,430,132,0,0,7,2216,1097,14165856,20.019
420,450,128,11,9,16,2153,1151,14087174,20.016
440,470,103,14,13,29,2100,1191,11340871,20.013
460,490,96,9,8,37,2067,1216,9907389,20.011
480,510,123,0,0,37,2034,1249,13596671,20.016
500,530,182,0,0,37,1986,1297,21019374,20.016
520,550,216,0,0,37,1906,1377,25613006,20.02
540,570,221,0,0,37,1813,1470,25708558,20.013
560,590,201,0,0,37,1730,1553,23378935,20.014
580,610,212,0,0,37,1658,1625,24264588,20.023
600,630,249,0,0,37,1574,1709,28425326,20.022
620,650,295,0,0,37,1476,1807,34522817,20.027
640,670,351,0,0,37,1344,1939,41713093,20.046
660,690,402,0,0,37,1221,2062,50631259,20.044
680,710,502,164,92,129,992,2199,65495193,20.035
700,730,492,159,92,221,769,2330,57705250,20.042
720,750,437,178,110,331,527,2462,52278373,20.034
740,770,323,0,0,331,418,2571,39136334,20.034
760,790,337,0,0,331,277,2712,44607056,20.033
780,810,277,0,0,331,145,2844,36106745,20.032
800,816,145,12,12,343,50,2927,19988937,20.201
