vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1093,45.587,560,1732.75,1654.27,78.48,469,32,32
1,2,2,1116,53.671,586,1789.33,1600.6,188.73,466,32,32
2,3,3,1087,50.66,570,1802.93,1697.09,105.84,453,32,32
3,4,4,1098,64.586,533,1693.37,1615.33,78.04,503,31,31
4,5,5,1115,64.122,573,1824.26,1725.78,98.48,482,30,30
5,6,6,1099,25.476,603,1855.29,1642.64,212.65,430,33,33
6,7,7,1100,51.61,513,1577.4,1504.36,73.04,527,30,30
7,8,8,1107,41.593,531,1697.72,1535.39,162.33,514,31,31
8,9,9,1098,34.382,546,1640.84,1476.05,164.79,482,35,35
9,10,10,1102,33.414,594,1862.39,1680.58,181.81,438,35,35
10,1,1,1063,44.012,571,1805.72,1604.15,201.57,430,31,31
11,2,2,1049,39.655,499,1533.66,1291.82,241.84,490,30,30
12,3,3,1101,81.6,546,1654.38,1588.77,65.61,483,36,36
13,4,4,1090,47.131,542,1614.74,1350.54,264.2,486,31,31
14,5,5,1078,42.164,497,1598.08,1456.89,141.19,521,30,30
15,6,6,1117,92.814,547,1662.97,1540.29,122.68,504,33,33
16,7,7,1084,92.074,478,1394.05,1294.26,99.79,546,30,30
17,8,8,1115,75.144,507,1502.91,1381.23,121.68,542,33,33
18,9,9,1123,49.661,534,1654.19,1496.22,157.97,531,29,29
19,10,10,1141,46.613,561,1716.54,1517.11,199.43,516,32,32
20,1,1,1053,40.065,523,1560.63,1356.85,203.78,470,30,30
21,2,2,1107,59.908,502,1439.76,1185.36,254.4,543,31,31
22,3,3,1116,47.556,532,1577.15,1408.97,168.18,520,32,32
23,4,4,1101,21.177,528,1583.16,1433.32,149.84,511,31,31
24,5,5,1018,40.158,502,1544.1,1304.63,239.47,462,27,27
25,6,6,998,28.893,443,1295.43,1143.46,151.97,499,28,28
26,7,7,1122,55.624,512,1541.26,1350.79,190.47,550,30,30
27,8,8,1114,78.444,508,1488.47,1314.55,173.92,538,34,34
28,9,9,1066,28.94,497,1444.79,1128.99,315.8,515,27,27
29,10,10,978,31.28,475,1379.61,1164.22,215.39,441,31,31
30,1,1,988,55.344,501,1489.31,1247.85,241.46,425,31,31
31,2,2,1112,117.034,484,1363.03,1168.86,194.17,564,32,32
32,3,3,1091,55.791,490,1389.49,1173.9,215.59,539,31,31
33,4,4,990,56.641,506,1408.24,1176.27,231.97,416,34,34
34,5,5,1075,38.983,475,1391.44,1186.12,205.32,542,29,29
35,6,6,1108,93.647,527,1509.65,1212.65,297.0,515,33,33
36,7,7,997,48.357,436,1179.17,982.92,196.25,501,30,30
37,8,8,963,82.916,381,1009.67,838.03,171.64,534,24,24
38,9,9,988,113.064,418,1210.36,1056.01,154.35,518,26,26
39,10,10,1074,67.027,514,1416.55,1122.48,294.07,496,32,32
40,1,1,942,36.024,445,1285.9,1021.75,264.15,443,27,27
41,2,2,941,40.64,402,1129.53,896.51,233.02,483,28,28
42,3,3,1027,47.484,469,1354.13,1021.27,332.86,506,26,26
43,4,4,1100,86.079,458,1334.7,1284.85,49.85,580,31,31
44,5,5,1027,38.224,488,1321.41,939.81,381.6,481,29,29
45,6,6,1103,72.858,446,1279.29,1067.16,212.13,601,28,28
46,7,7,1113,55.125,402,1138.52,955.8,182.72,661,25,25
47,8,8,1009,20.184,471,1300.58,978.38,322.2,484,27,27
48,9,9,1000,66.128,395,1113.14,901.02,212.12,555,25,25
49,10,10,956,20.129,479,1388.37,1038.63,349.74,425,26,26
50,1,1,1011,52.714,440,1200.83,924.47,276.36,515,28,28
51,2,2,988,53.96,364,1028.96,769.9,259.06,580,22,22
52,3,3,1086,31.513,431,1232.69,916.53,316.16,597,29,29
53,4,4,1067,65.738,550,1516.48,1140.32,376.16,453,32,32
54,5,5,1091,29.578,528,1345.65,1060.24,285.41,495,34,34
55,6,6,1091,37.866,354,978.31,767.77,210.54,695,21,21
56,7,7,1086,37.495,535,1510.7,1138.56,372.14,491,30,30
57,8,8,998,95.024,426,1155.61,974.46,181.15,516,28,28
58,9,9,992,113.064,427,1116.26,846.86,269.4,509,28,28
59,10,10,1016,35.613,446,1259.89,1015.05,244.84,514,28,28
60,1,1,1117,56.677,517,1342.04,1071.45,270.59,532,34,34
61,2,2,1100,43.2,552,1486.38,1102.73,383.65,482,33,33
62,3,3,1060,67.495,478,1222.15,959.71,262.44,526,28,28
