vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1051,15.485,591,1581.76,1292.36,289.4,376,42,42
1,2,2,1123,45.069,561,1600.85,1446.14,154.71,476,43,43
2,3,3,1109,95.529,599,1570.45,1290.88,279.57,418,46,46
3,4,4,1098,92.521,574,1546.6,1412.42,134.18,430,47,47
4,5,5,1107,74.289,594,1662.83,1494.62,168.21,431,41,41
5,6,6,1129,69.666,626,1702.64,1564.46,138.18,405,49,49
6,7,7,1128,59.472,580,1569.84,1349.22,220.62,464,42,42
7,8,8,1091,36.908,561,1607.55,1450.33,157.22,446,42,42
8,9,9,1074,99.991,590,1494.69,1255.29,239.4,404,40,40
9,10,10,1072,38.563,575,1596.92,1278.02,318.9,417,40,40
