vehicle_id,sequence,event,from_node,to_node,physical_from_node,physical_to_node,departure_time,arrival_time,travel_time,travel_distance_km,charging_time,charged_range_km,remaining_range_before,remaining_range_after,onboard_passengers,related_batch_id,movement_type,from_event,to_event
0,0,Movement,1,1,1,1,22,22,0,0.0,22,0.0,160.0,160.0,0,B2,empty_repositioning,Position,Pickup
0,1,Pickup,1,1,1,1,25,22,0,0.0,2,0.0,160.0,160.0,1,B2,pickup_service,Pickup,Pickup
0,2,Movement,1,10,1,10,25,40,15,47.44,0,0.0,160.0,112.56,1,B2,passenger_flight,Position,Delivery
0,3,Delivery,10,10,10,10,43,40,0,0.0,2,8.534,112.56,121.094,0,B2,delivery_service,Delivery,Delivery
0,4,Movement,10,6,10,6,43,56,13,35.74,0,0.0,121.094,85.354,0,B34,empty_repositioning,Position,Pickup
0,5,Pickup,6,6,6,6,59,56,0,0.0,2,8.534,85.354,93.888,1,B34,pickup_service,Pickup,Pickup
0,6,Movement,6,9,6,9,59,81,22,74.79,0,0.0,93.888,19.098,1,B34,passenger_flight,Position,Delivery
0,7,Delivery,9,9,9,9,84,81,0,0.0,2,8.534,19.098,27.632,0,B34,delivery_service,Delivery,Delivery
0,8,Movement,9,9,9,9,112,112,0,0.0,28,119.476,147.108,147.108,0,B92,empty_repositioning,Position,Pickup
0,9,Pickup,9,9,9,9,115,112,0,0.0,2,8.534,147.108,155.642,1,B92,pickup_service,Pickup,Pickup
0,10,Movement,9,6,9,6,115,137,22,74.79,0,128.01,155.642,80.852,1,B92,passenger_flight,Position,Delivery
0,11,Delivery,6,6,6,6,140,137,0,0.0,2,8.534,80.852,89.386,0,B92,delivery_service,Delivery,Delivery
0,12,Movement,6,6,6,6,142,142,0,0.0,2,8.534,97.92,97.92,0,B136,empty_repositioning,Position,Pickup
0,13,Pickup,6,6,6,6,145,142,0,0.0,2,8.534,97.92,106.454,1,B136,pickup_service,Pickup,Pickup
0,14,Movement,6,1,6,1,145,154,9,23.39,0,17.068,106.454,83.064,1,B136,passenger_flight,Position,Delivery
0,15,Delivery,1,1,1,1,157,154,0,0.0,2,8.534,83.064,91.598,0,B136,delivery_service,Delivery,Delivery
