origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0.0,54.0,49.0,27.0,27.0,23.0,55.0,82.0,113.0,61.0
수서,54.0,0.0,35.0,54.0,59.0,92.0,38.0,28.0,107.0,106.0
삼성,51.0,35.0,0.0,45.0,50.0,83.0,47.0,57.0,122.0,83.0
여의도,27.0,56.0,45.0,0.0,33.0,49.0,57.0,78.0,124.0,68.0
김포공항,27.0,61.0,50.0,33.0,0.0,36.0,63.0,83.0,138.0,38.0
일산,23.0,92.0,81.0,48.0,36.0,0.0,77.0,114.0,146.0,79.0
판교,56.0,36.0,43.0,57.0,63.0,78.0,0.0,32.0,93.0,108.0
동탄/용인,83.0,28.0,57.0,76.0,81.0,110.0,30.0,0.0,59.0,135.0
평택,114.0,109.0,121.0,125.0,139.0,147.0,95.0,76.0,0.0,177.0
인천공항,61.0,94.0,83.0,66.0,38.0,83.0,108.0,134.0,171.0,0.0
