origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0,,4121,1456,,,,,,
수서,,0,1633,,,,,,,
삼성,3675,1317,0,,,,,,,
여의도,1302,,,0,,,,,,
김포공항,,,,,0,,,,,
일산,,,,,,0,,,,
판교,,,,,,,0,,,
동탄/용인,,,,,,,,0,,
평택,,,,,,,,,0,
인천공항,,,,,,,,,,0
