origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0.0,23.635,20.157,6.156,20.76,26.496,27.046,47.078,70.144,58.263
수서,23.635,0.0,9.917,20.951,32.822,49.16,14.004,33.279,58.859,74.088
삼성,18.857,9.917,0.0,15.639,27.51,45.682,19.706,42.258,68.708,65.009
여의도,6.574,20.951,15.639,0.0,14.969,33.014,27.26,53.292,65.344,57.795
김포공항,20.759,32.822,27.51,14.969,0.0,16.374,39.131,65.163,75.942,37.735
일산,26.496,49.16,45.682,32.608,16.374,0.0,53.487,81.51,96.56,50.952
판교,27.763,10.601,19.706,27.26,39.131,54.205,0.0,23.445,45.719,73.664
동탄/용인,46.814,33.279,42.258,53.292,65.163,82.21,23.445,0.0,24.076,93.027
평택,70.053,59.735,68.618,65.81,75.852,96.47,46.099,26.963,0.0,105.211
인천공항,58.262,70.321,65.009,52.468,37.735,53.9,73.659,93.282,107.367,0.0
