revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
70000,50,281754187,412124397,1424,1911,3335,824.355
70000,55,262648705,405536595,1545,1790,3335,823.717
70000,60,246175269,400081483,1656,1679,3335,823.642
70000,65,226789669,393432597,1785,1550,3335,823.891
70000,70,212509449,390496326,1874,1461,3335,824.207
70000,75,187920226,388206352,2044,1291,3335,824.074
70000,80,185210226,381937649,2056,1279,3335,823.833
70000,85,177157384,379895544,2113,1222,3335,824.043
70000,90,174774988,379805544,2124,1211,3335,823.641
70000,95,156875888,376727112,2246,1089,3335,823.525
70000,100,148196033,372789522,2307,1028,3335,824.474
70000,105,136639095,371009764,2386,949,3335,824.265
70000,110,133844316,370363075,2407,928,3335,824.908
70000,115,130937208,368592685,2424,911,3335,824.443
70000,120,126355058,367679311,2457,878,3335,827.574
70000,125,120897795,365002282,2494,841,3335,824.935
70000,130,116008386,363776353,2526,809,3335,825.474
70000,135,109231154,362324521,2570,765,3335,824.515
70000,140,106075100,360168896,2591,744,3335,826.138
70000,145,103314807,362550870,2614,721,3335,826.817
70000,150,105642952,357728078,2595,740,3335,827.959
