vehicle_id,sequence,event,from_node,to_node,physical_from_node,physical_to_node,departure_time,arrival_time,travel_time,travel_distance_km,charging_time,charged_range_km,remaining_range_before,remaining_range_after,onboard_passengers,related_batch_id,movement_type,from_event,to_event
0,0,Movement,1,1,1,1,22,22,0,0.0,22,0.0,160.0,160.0,0,B2,empty_repositioning,Position,Pickup
0,1,Pickup,1,1,1,1,25,22,0,0.0,2,0.0,160.0,160.0,1,B2,pickup_service,Pickup,Pickup
0,2,Movement,1,10,1,10,28,43,15,47.44,3,0.0,160.0,112.56,1,B2,passenger_flight,Position,Delivery
0,3,Delivery,10,10,10,10,46,43,0,0.0,2,8.534,112.56,121.094,0,B2,delivery_service,Delivery,Delivery
0,4,Movement,10,10,10,10,46,46,0,0.0,0,0.0,121.094,121.094,0,B27,empty_repositioning,Position,Pickup
0,5,Pickup,10,10,10,10,49,46,0,0.0,2,8.534,121.094,129.628,2,B27,pickup_service,Pickup,Pickup
0,6,Movement,10,3,10,3,49,66,17,54.92,0,8.534,129.628,74.708,2,B27,passenger_flight,Position,Delivery
0,7,Delivery,3,3,3,3,69,66,0,0.0,2,8.534,74.708,83.242,0,B27,delivery_service,Delivery,Delivery
0,8,Movement,3,1,3,1,69,77,8,9.61,0,0.0,83.242,73.632,0,B54,empty_repositioning,Position,Pickup
0,9,Pickup,1,1,1,1,80,77,0,0.0,2,8.534,73.632,82.166,1,B54,pickup_service,Pickup,Pickup
0,10,Movement,1,10,1,10,80,95,15,47.44,0,0.0,82.166,34.726,1,B54,passenger_flight,Position,Delivery
0,11,Delivery,10,10,10,10,98,95,0,0.0,2,8.534,34.726,43.26,0,B54,delivery_service,Delivery,Delivery
0,12,Movement,10,10,10,10,98,98,0,0.0,0,0.0,43.26,43.26,0,B76,empty_repositioning,Position,Pickup
0,13,Pickup,10,10,10,10,101,98,0,0.0,2,8.534,43.26,51.794,1,B76,pickup_service,Pickup,Pickup
0,14,Movement,10,9,10,9,113,134,21,69.89,12,59.738,51.794,33.108,1,B76,passenger_flight,Position,Delivery
0,15,Delivery,9,9,9,9,137,134,0,0.0,2,8.534,33.108,41.642,0,B76,delivery_service,Delivery,Delivery
