vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,805,63,38,31,7,320,485,1001.95,865.53,136.42,409,4023192
1,2,2,821,53,34,28,6,341,480,1141.6,1028.89,112.71,408,4167703
2,3,3,816,47,30,29,1,238,578,703.95,698.97,4.98,508,3024226
3,4,4,818,70,38,33,5,311,507,947.55,840.2,107.35,421,3929709
4,5,5,820,63,33,30,3,250,570,717.24,663.94,53.3,484,3204082
5,6,6,824,60,43,34,9,381,443,1210.46,961.44,249.02,351,4748819
6,7,7,817,63,37,30,7,281,536,765.83,652.71,113.12,448,3599695
7,8,8,816,58,38,31,7,279,537,825.13,685.53,139.6,447,3597325
8,9,9,814,46,33,28,5,297,517,913.5,806.02,107.48,445,3692271
9,10,10,816,60,35,31,4,310,506,985.23,911.48,73.75,424,3864110
10,1,1,820,50,41,34,7,345,475,1036.13,914.05,122.08,389,4338079
11,2,2,816,44,32,28,4,278,538,842.63,786.73,55.9,466,3476514
12,3,3,819,52,38,32,6,306,513,891.01,796.24,94.77,435,3877774
13,4,4,808,53,34,31,3,310,498,991.4,943.87,47.53,416,3845706
14,5,5,804,46,33,28,5,266,538,766.54,656.44,110.1,464,3370274
15,6,6,819,41,42,31,11,287,532,812.68,606.75,205.93,456,3754037
16,7,7,813,45,37,31,6,294,519,870.18,747.52,122.66,441,3734726
17,8,8,827,58,43,34,9,327,500,930.81,790.78,140.03,412,4187921
18,9,9,823,42,31,27,4,264,559,808.91,753.14,55.77,491,3312692
19,10,10,830,47,33,29,4,297,533,898.32,832.76,65.56,455,3692271
20,1,1,823,47,34,29,5,325,498,1021.69,970.1,51.59,418,4001511
21,2,2,811,43,36,27,9,296,515,867.31,696.81,170.5,437,3737096
22,3,3,829,48,36,29,7,315,514,937.24,786.72,150.52,440,3934449
23,4,4,816,47,32,28,4,289,527,916.98,856.63,60.35,455,3590771
24,5,5,821,43,34,28,6,258,563,750.84,682.55,68.29,495,3305582
25,6,6,822,52,42,33,9,360,462,1056.36,895.65,160.71,376,4512288
26,7,7,826,49,32,28,4,269,557,836.88,716.33,120.55,485,3383031
27,8,8,826,47,36,29,7,292,534,856.46,753.68,102.78,456,3695548
28,9,9,813,34,32,28,4,316,497,1016.65,914.97,101.68,435,3871220
29,10,10,829,42,33,27,6,288,541,850.28,736.58,113.7,473,3598788
30,1,1,823,42,32,27,5,326,497,1056.22,972.79,83.43,423,3975090
31,2,2,819,35,31,22,9,271,548,812.4,678.71,133.69,492,3385401
32,3,3,818,35,30,23,7,269,549,824.93,752.83,72.1,491,3346223
33,4,4,815,48,36,29,7,293,522,837.55,721.96,115.59,446,3705935
34,5,5,818,40,31,26,5,275,543,837.55,739.24,98.31,477,3426949
35,6,6,815,37,34,28,6,279,536,861.73,740.66,121.07,474,3523709
36,7,7,817,37,34,29,5,265,552,795.92,697.56,98.36,486,3378291
37,8,8,826,34,32,25,7,272,554,810.87,696.42,114.45,492,3414192
38,9,9,826,33,29,24,5,260,566,808.25,690.41,117.84,506,3234336
39,10,10,793,30,25,19,6,241,552,758.78,615.13,143.65,500,2963367
40,1,1,820,41,34,26,8,308,512,942.48,802.66,139.82,440,3824932
41,2,2,815,32,37,25,12,281,534,747.6,602.88,144.72,476,3599695
42,3,3,819,28,27,21,6,221,598,629.04,520.3,108.74,548,2792435
43,4,4,821,34,30,24,6,270,551,842.55,714.47,128.08,487,3356610
44,5,5,818,43,34,28,6,281,537,848.4,755.88,92.52,465,3544483
45,6,6,825,36,28,22,6,233,592,693.52,602.07,91.45,530,2935483
46,7,7,819,36,27,22,5,212,607,586.84,513.59,73.25,547,2698952
47,8,8,826,30,27,21,6,243,583,766.52,664.15,102.37,533,3020949
48,9,9,827,27,25,17,8,238,589,734.0,524.17,209.83,543,2932206
49,10,10,814,34,30,25,5,269,545,821.55,697.96,123.59,483,3346223
50,1,1,826,34,25,19,6,210,616,645.56,531.44,114.12,562,2641370
51,2,2,826,34,32,24,8,251,575,758.27,567.62,190.65,515,3196065
52,3,3,822,25,24,20,4,227,595,715.61,636.62,78.99,551,2799545
53,4,4,818,27,30,21,9,290,528,915.08,740.06,175.02,478,3564350
54,5,5,814,36,31,25,6,262,552,764.91,660.86,104.05,490,3291918
55,6,6,817,36,30,22,8,228,589,658.44,505.22,153.22,531,2920356
56,7,7,797,23,26,18,8,259,538,868.42,712.16,156.26,494,3168737
57,8,8,826,32,29,22,7,239,587,689.01,571.69,117.32,535,3016209
58,9,9,805,27,19,16,3,203,602,659.41,594.8,64.61,552,2458237
59,10,10,830,26,27,18,9,253,577,716.55,517.17,199.38,527,3124819
60,1,1,825,28,22,17,5,212,613,670.44,584.32,86.12,563,2606932
61,2,2,821,19,21,17,4,171,650,490.12,397.13,92.99,614,2162661
62,3,3,819,30,31,25,6,281,538,849.97,730.86,119.11,486,3489271
63,4,4,825,26,26,18,8,223,602,669.52,512.07,157.45,552,2794805
64,5,5,825,33,27,23,4,227,598,679.68,607.78,71.9,540,2854757
65,6,6,821,23,21,17,4,206,615,681.96,547.93,134.03,569,2526206
66,7,7,819,28,26,21,5,206,613,605.01,531.42,73.59,563,2618226
67,8,8,818,35,26,22,4,228,590,685.06,624.16,60.9,526,2846740
68,9,9,814,27,24,19,5,224,590,705.03,574.22,130.81,542,2768384
69,10,10,822,22,22,16,6,216,606,696.97,508.02,188.95,564,2648480
70,1,1,816,23,21,15,6,188,628,579.48,475.91,103.57,586,2339240
71,2,2,822,28,24,18,6,233,589,761.81,608.39,153.42,541,2861867
72,3,3,829,30,30,21,9,259,570,801.42,591.3,210.12,518,3242353
73,4,4,788,13,12,9,3,147,641,504.0,384.16,119.84,619,1747737
74,5,5,820,22,21,16,5,183,637,526.98,438.95,88.03,599,2287305
75,6,6,834,20,22,16,6,195,639,590.2,434.76,155.44,599,2430353
76,7,7,814,16,16,12,4,150,664,449.05,337.8,111.25,636,1852514
77,8,8,813,22,23,17,6,192,621,571.41,428.62,142.79,579,2417596
78,9,9,793,20,15,12,3,156,637,501.98,452.26,49.72,601,1896432
79,10,10,827,17,18,12,6,171,656,530.42,410.68,119.74,622,2107449
80,1,1,819,23,19,15,4,194,625,657.07,554.43,102.64,591,2364754
81,2,2,824,25,25,18,7,198,626,545.63,424.39,121.24,584,2516726
82,3,3,822,24,24,18,6,201,621,580.3,437.96,142.34,575,2529483
83,4,4,812,19,16,12,4,137,675,426.28,327.55,98.73,645,1717483
84,5,5,824,22,24,17,7,238,586,764.65,569.33,195.32,544,2913802
85,6,6,819,23,23,17,6,203,616,587.85,486.59,101.26,574,2531853
86,7,7,790,16,18,13,5,166,624,507.64,427.4,80.24,592,2055514
87,8,8,801,16,18,13,5,159,642,496.6,374.48,122.12,612,1982805
88,9,9,815,16,18,11,7,160,655,521.62,358.97,162.65,627,1993192
89,10,10,833,20,20,14,6,223,610,741.99,523.64,218.35,574,2684381
90,1,1,813,17,17,10,7,171,642,539.09,386.1,152.99,612,2089045
91,2,2,838,18,22,14,8,244,594,792.7,605.37,187.33,560,2939316
92,3,3,806,15,14,11,3,149,657,487.12,389.76,97.36,627,1805319
93,4,4,814,24,22,15,7,168,646,463.23,356.4,106.83,600,2149904
94,5,5,812,25,25,19,6,222,590,693.15,569.46,123.69,548,2766014
95,6,6,808,14,17,11,6,149,659,443.6,357.1,86.5,631,1860531
96,7,7,818,15,12,9,3,112,706,362.88,312.44,50.44,682,1384192
97,8,8,816,15,16,11,5,146,670,456.91,360.34,96.57,642,1810966
98,9,9,809,11,11,7,4,102,707,315.52,267.72,47.8,689,1261918
99,10,10,828,18,17,13,4,178,650,570.64,466.91,103.73,616,2161754
