revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
130000,50,424280394,617848560,1810,1525,3335,825.697
130000,55,390770317,597524208,1929,1406,3335,825.232
130000,60,350311372,573328612,2070,1265,3335,825.937
130000,65,321959241,557309214,2167,1168,3335,826.182
130000,70,295378314,539820481,2266,1069,3335,826.517
130000,75,270415066,530023393,2355,980,3335,825.467
130000,80,231005748,499454816,2497,838,3335,826.622
130000,85,215250888,494307891,2555,780,3335,825.376
130000,90,191830332,478745495,2633,702,3335,825.661
130000,95,177247378,468381272,2688,647,3335,825.733
130000,100,158602940,457488754,2755,580,3335,826.82
130000,105,142310786,446113074,2813,522,3335,826.642
130000,110,130048610,441748792,2861,474,3335,826.002
130000,115,116832554,433005495,2907,428,3335,827.393
130000,120,105564029,424641848,2947,388,3335,829.735
130000,125,98554626,417278936,2971,364,3335,826.416
130000,130,87851054,411951236,3015,320,3335,827.378
130000,135,84156419,410753109,3026,309,3335,828.764
130000,140,80545493,408148259,3039,296,3335,828.524
130000,145,74472608,404103004,3061,274,3335,827.756
130000,150,65318577,397858591,3094,241,3335,828.173
